Minimanga 2	-66.9315542364	10.4479919577	__export__.isp_zone_8_d70ed9f2	cable
Troncal 3. Nodo a Manga 12	-66.9228980023 10.4496646948,-66.9228795493 10.4497868571,-66.922939899 10.4498237852,-66.9229787911 10.449740697,-66.9230431641 10.4497710308,-66.923067304 10.4497143197,-66.9230217064 10.4496602464,-66.9230377997 10.4495863901,-66.9231129015 10.4495995788,-66.9232403065 10.4496140862,-66.923336866 10.4496101297,-66.9234481777 10.4495257225,-66.9235125507 10.4494228512,-66.9234830464 10.4493621835,-66.9234495188 10.4492962403,-66.9234977985 10.4492619499,-66.9235246206 10.449280414,-66.9235938484 10.4491195126,-66.9238298828 10.4486763739,-66.9240605527 10.4486763739,-66.9241624767 10.4483756724,-66.9241195613 10.448349295,-66.9242161209 10.4481118988,-66.924602359 10.4477478909,-66.9246560031 10.4476898606,-66.9245272571 10.4476291926,-66.923974722 10.4474287242,-66.9237252766 10.4473337655,-66.9237131293 10.4471374274,-66.9238043244 10.4468868415,-66.923927706 10.4466019647,-66.9239759858 10.4462458683,-66.9240779097 10.4457077663,-66.9241825159 10.445140648,-66.9242844398 10.4445207733,-66.9243005331 10.4443836094,-66.9244652723 10.4434701422,-66.924551103 10.4430058932,-66.9247013067 10.4422251093,-66.9248836969 10.4414865282,-66.9254693236 10.4415893846,-66.9254845118 10.4415920399,-66.9259565805 10.4415181817,-66.9260853266 10.4417714097,-66.9274264311 10.441729205,-66.9284986856 10.4417050985,-66.9293039889 10.4417296416,-66.9293098188 10.4417277461,-66.930207105 10.4417061228	fffa0004	__export__.isp_zone_8_d70ed9f2	cable
Distribucion T1 a Manga 12	-66.930207105 10.4417061228,-66.9303183293 10.441690817	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
Subtroncal Manga T1 a Manga 13	-66.930207105 10.4417061228,-66.9266350544 10.4416262163	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Subtroncal Manga T1 a Manga 14	-66.930207105 10.4417061228,-66.9303332681 10.4416633105,-66.9306497687 10.4419851209,-66.9309206719 10.4424203557,-66.9305397982 10.4427896454,-66.9303144926 10.4427448031,-66.9302530337 10.4427744688	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Troncal T1 a Panamericana	-66.9331851424 10.4467793117,-66.9330160702 10.4460815326,-66.9329900255 10.4458016252,-66.9329025765 10.4455253576,-66.9327309984 10.4453862172,-66.9326886668 10.4451214219,-66.9330574311 10.444074892,-66.9329730538 10.4437068902,-66.932829763 10.4433261965,-66.9325176706 10.4431905999,-66.9320671248 10.4431055963,-66.9316769576 10.4429466385,-66.9312872834 10.4426628682,-66.930943206 10.4427318271,-66.9306860276 10.4428249888,-66.9304330697 10.442747012,-66.9306806952 10.4426228979,-66.9307541102 10.442574879,-66.9308774553 10.442404957,-66.9308292121 10.4422952738,-66.9307230098 10.4422729509,-66.9306900653 10.4421182018,-66.9305978715 10.4419629126,-66.9305908307 10.4417228737,-66.9307239354 10.4416391238,-66.9306320697 10.4415243799,-66.930464857 10.4416123,-66.930207105 10.4417061228	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
Jumper T2 a Manga 15	-66.9331851424 10.4467793117,-66.933189338 10.4468176832	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
Jumper Nap 19148 con Manga 17	-66.9302300577 10.4450136444,-66.930228292 10.4449932958	ff00ff37	__export__.isp_zone_8_d70ed9f2	cable
Distribucion Manga T3 a Manga 16	-66.9254693236 10.4415893846,-66.9253275664 10.4413714221,-66.9252471001 10.4413555953,-66.92527124 10.4412527214,-66.9253061087 10.4410232331,-66.9256574781 10.4406486657,-66.9256266686 10.4405635447	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
Troncal a Mercado Mayor de COche	-66.930207105 10.4417061228,-66.9301220031 10.4416193182,-66.929478273 10.4416140426,-66.9282069059 10.4416615229,-66.9270857425 10.4416562473,-66.9268175216 10.4416404205,-66.9267853351 10.4416298694,-66.9269409032 10.4415560112,-66.9271072002 10.4413977436,-66.9274076076 10.4410812082,-66.9276221843 10.4406486093,-66.9276758285 10.4404745144,-66.927643642 10.4402898682,-66.9271393867 10.4402371122,-66.927117929 10.4400260878,-66.9271072002 10.4399258512,-66.9270112186 10.439820387,-66.9271608444 10.4399522293,-66.9271608444 10.4401790805,-66.9277562948 10.4402423878,-66.9278796764 10.4403004195,-66.9281800838 10.4403690023,-66.9283088298 10.4404745144,-66.9286950679 10.4406644361,-66.9288752276 10.440768799	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
Subtroncal T2 a Manga 21	-66.9331851424 10.4467793117,-66.933256762 10.4473236114,-66.933321135 10.4475781535,-66.9335571694 10.4481283354,-66.9336269069 10.4482457147,-66.9331950712 10.4483406732,-66.9329965878 10.4485319089,-66.9329804945 10.4485580729	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
