Minimanga 2	-66.9315542364	10.4479919577	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 3 (OLT 3) El Estanque 1	-66.9302530337 10.4427744688,-66.9299863606 10.4429232161,-66.9294637024 10.4431343079,-66.9294413935 10.4431364017,-66.9293859183 10.4431554101,-66.9290824874 10.4432538446,-66.9290372312 10.4432846613,-66.9286378352 10.4431911553,-66.9286348998 10.4431844257,-66.928965775 10.443041281,-66.9290643163 10.4425890497	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 3 (OLT 3) El Estanque 2	-66.9302530337 10.4427744688,-66.9303085982 10.4427544675,-66.9302656829 10.4426726962,-66.9300645172 10.4425144292,-66.9299804161 10.4424674075,-66.9297238767 10.4423983667,-66.9294625617 10.4423866657	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 4 (OLT 3) El Estanque 1	-66.9303183293 10.441690817,-66.9296139165 10.4416998184,-66.9290131016 10.4417156451,-66.9290157839 10.4419345817,-66.929337548 10.4419739526	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 4 (OLT 3) El Estanque 2	-66.9303183293 10.441690817,-66.9289889618 10.4417077317,-66.929005055 10.4419477706,-66.9288217533 10.4421534062,-66.9285189735 10.4425003766,-66.9283184095 10.4428920977,-66.9283720537 10.4429422155,-66.9285747621 10.442866099	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 5 (OLT 3) El Estanque 1	-66.9302530337 10.4427744688,-66.9303206296 10.4427545751,-66.9306170137 10.4428033741,-66.9306547838 10.4430293074,-66.9307675634 10.4434430413,-66.9308969043 10.4438122437,-66.9306572468 10.4438624417,-66.9304694922 10.4438558473,-66.9304159623 10.4438388098	ff00ffee	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 5 (OLT 3) El Estanque 2	-66.9302530337 10.4427744688,-66.9303273351 10.4427598507,-66.9306773634 10.4427954607,-66.9309589953 10.4427242406,-66.9312218518 10.4426886306,-66.9312971023 10.4426851235,-66.9314458162 10.4428455786,-66.9316362531 10.442926118,-66.9315396967 10.4431937516,-66.9315608283 10.443728999,-66.9314194198 10.4437191055,-66.9311900909 10.4435463312,-66.9311002369 10.4434460958,-66.9311007862 10.44329341	ff00ffee	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 6 (OLT 3) Caja 18151	-66.933189338 10.4468176832,-66.9332147017 10.4470623762	ff00ff44	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 6 (OLT 3) Caja 18152 a 18155	-66.933189338 10.4468176832,-66.9329945158 10.446083174,-66.9330132008 10.4459808986,-66.9329891514 10.445737628,-66.9329650115 10.4456426687,-66.9328362654 10.4455318829,-66.9327316593 10.445410546,-66.9327151403 10.4453217889,-66.9326646041 10.4450884554,-66.93281749 10.4447033419,-66.9329256937 10.4443705451,-66.9329757403 10.444202166,-66.933010609 10.4440096087,-66.9329274606 10.4436244938,-66.9327987145 10.4433791807,-66.9327182483 10.4432974096,-66.9325096247 10.4432260779,-66.9323191878 10.4431865112,-66.9322014973 10.4432155301	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 6 (OLT 3) Caja 18156 a 18158	-66.9322014973 10.4432155301,-66.9323030946 10.4431706845,-66.932449275 10.4432300346,-66.9324740767 10.4433315923,-66.9326553274 10.4436160352,-66.9327183593 10.4437795772,-66.9327513501 10.4438222185,-66.9327585924 10.4440921532,-66.9326622556 10.4442458644,-66.9325817893 10.444364564,-66.9324691365 10.444489858,-66.9324402139 10.4445406811	ff00ffee	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 7 (OLT 3) El Estanque	-66.9302530337 10.4427744688,-66.9300311163 10.4428213481,-66.9297984579 10.4430984545,-66.9300369546 10.4434301792,-66.9302196801 10.4435910835,-66.9304159623 10.4438388098,-66.9306045771 10.4438990436,-66.9308757482 10.4438140431,-66.9311279431 10.4437602308,-66.9314246625 10.4438786009,-66.9315929711 10.4440460994,-66.9316981896 10.4440695904,-66.9315862656 10.4440688502,-66.9314407557 10.4442396458,-66.931337826 10.444357686,-66.9312811643 10.4445176007,-66.931322068 10.4445614535,-66.9312684238 10.444536065,-66.9311913103 10.4447556591,-66.9313951921 10.4447534658,-66.9316112889 10.4447594269,-66.931755403 10.4448088225,-66.9318405432 10.444924868,-66.9317089766 10.4450540561,-66.931447126 10.4451216488,-66.9312120974 10.4450761474,-66.9311139086 10.4449672523,-66.9310169667 10.4449333784,-66.9306986705 10.4450013675,-66.9305184111 10.4450543858,-66.9302300577 10.4450136444	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
Distibucion PON 8 (OLT3) El Manguito 20171, 20172 y 20173	-66.930228292 10.4449932958,-66.9302172676 10.4449051045,-66.9301689878 10.4446980399,-66.9301126614 10.4446228636,-66.9300643817 10.4445358173,-66.92995307 10.4444922942,-66.9298363939 10.4444804242,-66.9295668319 10.4444922942,-66.9293565974 10.444490928,-66.9292600379 10.4444671881,-66.9291886811 10.444438642,-66.9290602133 10.4444052005,-66.9288635591 10.4443625769,-66.9285376707 10.4443665335,-66.9284671918 10.4443487835,-66.928823326 10.4443467503,-66.928862218 10.4443454314,-66.9288595358 10.4440262612,-66.9289147634 10.4438931995	ff00ff37	__export__.isp_zone_8_d70ed9f2	cable
Distibucion PON 8 (OLT3) El Manguito 20174 y 20175	-66.930228292 10.4449932958,-66.9301898199 10.4447534624,-66.930140199 10.4446308063,-66.930063756 10.4445582677,-66.9299846309 10.4445187012,-66.9299846309 10.4444356115,-66.9299470799 10.4443142741,-66.9298478382 10.4442377788,-66.9297848063 10.4442061256,-66.9297358967 10.4441710266,-66.9297029989 10.4440439027,-66.9297299 10.443775	ff00ff37	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 8 Nap 2017 y 20177	-66.930228292 10.4449932958,-66.9301820126 10.4447986528,-66.9301659193 10.4447089688,-66.930161896 10.4446535757,-66.9302209046 10.4446100526,-66.9303885427 10.4445889504,-66.9304676679 10.4445533406,-66.930527217 10.4445286243,-66.9308106867 10.444426122	ff00ff37	__export__.isp_zone_8_d70ed9f2	cable
Dist. 20 Nap 8	-66.930228292 10.4449932958,-66.9298819994 10.4451439452,-66.9292999601 10.4452547312,-66.9289620017 10.4452784711,-66.9285516237 10.4452731955,-66.9284711575 10.44526792	ff00ff44	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 12 (OLT 3) 20A y 20B	-66.9256266686 10.4405635447,-66.9255067958 10.4404722,-66.9254799737 10.4403693257,-66.925394143 10.4403693257,-66.9253702462 10.4405035524,-66.9253397535 10.4406245823	ff00ff37	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 12 (OLT 3) 24A y 24B	-66.9256266686 10.4405635447,-66.9256838216 10.4405275938,-66.9257374658 10.440459011,-66.9258420719 10.4403165696,-66.9259493603 10.4400607027,-66.9260673775 10.4396914097,-66.9260915174 10.4395806218,-66.9258447541 10.4395173143,-66.9256087198 10.4394355422,-66.9255834818 10.4395529533,-66.9255502895 10.4397184758	ff00ff37	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 12 (OLT 3) 25A y 25B	-66.9256266686 10.4405635447,-66.9258537974 10.4403261494,-66.926105925 10.4396508712,-66.925746509 10.4395400832,-66.9257438285 10.439581296,-66.9259195132 10.4396155875	ff00ff37	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 12 (OLT 3) 18A y 18B	-66.9256266686 10.4405635447,-66.9254782881 10.4404580395,-66.9254246439 10.4404659529,-66.9253790464 10.4407007172,-66.9253379008 10.4407975963,-66.9254492125 10.4408252932	ff00ff37	__export__.isp_zone_8_d70ed9f2	cable
Distribucion 22 PON 9 (OLT 3)	-66.933189338 10.4468176832,-66.9332259336 10.4471140982,-66.93327019 10.4473040158,-66.9333318809 10.4475414126,-66.9334074541 10.4478461587,-66.9335351656 10.4480652152,-66.9337846111 10.4484635133,-66.9338328908 10.4485426453,-66.9335567861 10.448745139,-66.9338758062 10.4485874867,-66.9340340565 10.4487404752,-66.934130616 10.4489119277,-66.9342352222 10.449035901,-66.9343156885 10.4492020779,-66.934197395 10.4492105628	ff00ff37	__export__.isp_zone_8_d70ed9f2	cable
Dist. 22 Nap 4	-66.933189338 10.4468176832,-66.9330831788 10.4462713453,-66.9330027125 10.4463029983,-66.9328632376 10.4464507124,-66.9327720425 10.4466010642,-66.9323777578 10.4467012986	ff00ff44	__export__.isp_zone_8_d70ed9f2	cable
D22 naps 22155 a 22157	-66.9369104505 10.442066116,-66.9367052615 10.4417888185,-66.9365637749 10.4422164699,-66.935926415 10.4421099693,-66.9354412705 10.4423767154,-66.9351767376 10.4424898104,-66.934918575 10.4427539185,-66.9346822053 10.4428795429,-66.9343469292 10.4432349837,-66.9340126589 10.4435314039,-66.9335989282 10.4438865142,-66.9334728643 10.4439877387,-66.9332314655 10.4443464755,-66.9330675155 10.4441680963,-66.9329256937 10.4443705451,-66.932800971 10.4448816123,-66.9326809421 10.445110768,-66.9327151403 10.4453217889,-66.9329857081 10.445663049,-66.9330132008 10.4459808986,-66.9330929965 10.4463106178,-66.9331090897 10.446404258,-66.933189338 10.4468176832	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Linea 1 para Hipodromo 2	-66.9270112186 10.439820387,-66.9269025482 10.4397304836,-66.9268676794 10.4397186135,-66.9268261052 10.4397014678,-66.926784531 10.4396836625,-66.9267496622 10.4396698141,-66.9267107702 10.4396539872,-66.9266759015 10.4396394793	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
Linea 2 distribucion Hipodromo 2	-66.9270112186 10.439820387,-66.927202193 10.4394403405,-66.927239744 10.4393875843,-66.9271820765 10.4393480172,-66.9271351378 10.4393335092,-66.9270701862 10.4393123908,-66.9270379997 10.4392978828,-66.927003131 10.4392860127,-66.9269669212 10.4392688669,-66.9269320525 10.4392569968,-66.926899866 10.4392438077,-66.9268636561 10.4392332565	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
Drop 6 para Nap 24191	-66.9288752276 10.440768799,-66.9289081252 10.4407274397,-66.9288041443 10.4406680852	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Drop 6 para Naps 24192 y 24193	-66.9288752276 10.440768799,-66.9287486679 10.4410175975,-66.9285823709 10.4412286212,-66.9285764918 10.441340064,-66.9285555488 10.4412444479,-66.9283275611 10.4412338968,-66.9281371242 10.4412391724,-66.9280566579 10.4412391724,-66.9280246273 10.4413552314	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Drop 6 para Naps 24194 y 24195	-66.9288752276 10.440768799,-66.9286789304 10.4406403923,-66.9282792813 10.4405032267,-66.9283221966 10.4402394464,-66.9285689599 10.4398147597,-66.9284594804 10.4396855032,-66.9285984642 10.439769917,-66.9288800961 10.439271371,-66.928743124 10.4391688221	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Drop 6 para Naps 24196 y 24197	-66.9288752276 10.440768799,-66.9291214949 10.4409305502,-66.9293816692 10.440471573,-66.9294165379 10.4403475963,-66.9295989281 10.440083816,-66.9295437634 10.4400719419,-66.9295962459 10.4400679891,-66.9298751957 10.4396063729,-66.9298538938 10.4395470182	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Drop 6 para Nap 24198	-66.9288752276 10.440768799,-66.9282571178 10.4404597723,-66.9281391006 10.4403331578,-66.927720676 10.4402065433,-66.927669714 10.4401115823,-66.9275758367 10.4399348493,-66.9272700649 10.4399295737,-66.9272405606 10.4398557152,-66.9271854311 10.4397873885	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Drop 6 para Naps 24199 y 241910	-66.9288752276 10.440768799,-66.9283258862 10.4404990217,-66.9281314261 10.4403460292,-66.9276700861 10.4402457927,-66.9274701609 10.4405946826,-66.9275669754 10.4406318155,-66.9274642027 10.4406187148,-66.927186594 10.4410895618,-66.9272176176 10.4411293701	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Drop 6 para Nap 241911	-66.9288752276 10.440768799,-66.9282183079 10.4404462473,-66.9281525938 10.440328865,-66.9281154695 10.4403778207	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Nap 241912	-66.9288752276 10.440768799,-66.9291683495 10.4409355914,-66.9299032748 10.4396588948,-66.9299622834 10.4392315695,-66.9293727132 10.4389987325	ff00ff44	__export__.isp_zone_8_d70ed9f2	cable
Drop 6 Para Nap 25201	-66.9243278664 10.4451294932,-66.9240713865 10.4462990776,-66.924090162 10.4461197104	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Drop 6 Para Nap 25203 y 25204	-66.9243278664 10.4451294932,-66.9244670123 10.4451279135,-66.9246577844 10.4451724257	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Drop 6 para Nap 25205 y 25206	-66.9248836417 10.443958504,-66.9249952989 10.4440279735,-66.9249094682 10.4442073419,-66.9250068069 10.4441977712,-66.924970597 10.4443642804	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Drop 6 Para Nap 25207	-66.9248836417 10.443958504,-66.9249506664 10.4439364394,-66.9249868762 10.4436251821,-66.9249976051 10.4435565999,-66.9248297811 10.4435231608	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Drop 6 Para Nap 25208 y 25209	-66.9243278664 10.4451294932,-66.924441036 10.4447297326,-66.9247253502 10.4447323703,-66.9248586148 10.4447325786,-66.9248106703 10.4449455781	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Drop 6 Para Nap 252010 y 252011	-66.9248836417 10.443958504,-66.9249399269 10.4439278508,-66.9249935711 10.4435427358,-66.924620744 10.4434504137,-66.9245900586 10.4435093125,-66.9245350733 10.4437968299	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Drop 6 Para Nap 252012 y 252013	-66.9248836417 10.443958504,-66.9249920547 10.4438884925,-66.9250517339 10.4436055913	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Linea 2. Distribucion 26 Naps 26213 a 26215	-66.9329804945 10.4485580729,-66.933114605 10.4486609444,-66.9330290133 10.4488459064,-66.9333741349 10.4484499707,-66.9332298691 10.4484252101	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Linea 1. Distribucion 26 Naps 26211 a 26212	-66.9329804945 10.4485580729,-66.9329196587 10.4484501571,-66.9329458103 10.44787579	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Distribucion 27 Res. El Estanque	-66.930228292 10.4449932958,-66.9302425345 10.4450853043,-66.9299910774 10.4450912392,-66.9298636725 10.4451222329,-66.9297110242 10.44518003,-66.9295386923 10.445235423,-66.9294126285 10.4452413579,-66.9293449027 10.4452413579,-66.9293717248 10.4453495061,-66.9293784303 10.4453851159,-66.929331254 10.4454077705,-66.9292735865 10.4454446992	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Dist 27. Nap 3 y 4	-66.930228292 10.4449932958,-66.9296529429 10.4451706661,-66.9297045104 10.4452970365,-66.9298171632 10.4453946337,-66.9299512736 10.4454500266,-66.9301414879 10.4454383457	ff00ff37	__export__.isp_zone_8_d70ed9f2	cable
Dist 27. Nap 5, 6, 7 y 8	-66.930228292 10.4449932958,-66.9294094674 10.4451888883,-66.9288086526 10.4452706589,-66.9288489512 10.445418456,-66.9291501416 10.4456529359,-66.9294907822 10.4457426196,-66.9298400272 10.4458804858,-66.930172345 10.445932538,-66.930531761 10.4459299003,-66.9305710077 10.4458291944,-66.9307624309 10.4457250855,-66.9310118764 10.4457013456,-66.931203987 10.4457019665,-66.9313944239 10.4458892472,-66.9315124411 10.4460026707,-66.9317136067 10.4460554257,-66.9319389127 10.4462183266	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
Distribucion 28. Res Hipodromo 1	-66.9270112186 10.439820387,-66.9272543595 10.4393756634,-66.9275574492 10.4390380234,-66.927632551 10.4389245974,-66.9275118516 10.438858652,-66.927452843 10.4388454629,-66.9273857878 10.438829636,-66.9273294614 10.4388058957,-66.927581589 10.4385183737,-66.9276888774 10.4384682551,-66.9276030467 10.4384366013,-66.9275333093 10.4384023096,-66.9274689363 10.4383706558,-66.9273857878 10.4383416398	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
D29 Naps 29221 a 29226	-66.9322758461 10.4483849742,-66.9323123398 10.4483258338,-66.9324357214 10.4484023281,-66.9324786367 10.4483311093,-66.9325049834 10.4483489752,-66.9324795024 10.4483924978,-66.9324540214 10.4484320638,-66.9324312227 10.4484716298,-66.9324070828 10.4485177902,-66.9323775785 10.4485626316	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
Fibra Roraima	-66.9322758461 10.4483849742,-66.9322827682 10.4483390854,-66.9322370086 10.4483171138,-66.9321940933 10.4482986497,-66.9321458135 10.4482735912,-66.932101557 10.4482498516	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Fibra M23 a Cumanagoto	-66.9316317777 10.4483883115,-66.9315542364 10.4479919577	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
Fibra Minimanga a D30 Cumanagoto	-66.9315542364 10.4479919577,-66.9315774084 10.4479461454,-66.9315988661 10.4479039416,-66.9316189826 10.4478591,-66.9316444636 10.4478182151	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Fibra D30 Manga 22 a Manga 23	-66.9322758461 10.4483849742,-66.9319933383 10.4482310126,-66.9318176536 10.4484024653,-66.9317814438 10.4484697276,-66.9316317777 10.4483883115	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
D31 Paraguachi	-66.9316317777 10.4483883115,-66.9315723374 10.4485004304,-66.9315455153 10.4484872417,-66.9315616085 10.448425255,-66.9315844073 10.4483777758,-66.9316072061 10.4483434852,-66.9316340282 10.4483052381,-66.9316528036 10.4482696286,-66.9316688969 10.4482379758	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
