node_id.code	ELEMENTO	NODO	N. DE TRUNK	TIPO DE CABLE	CANT. DE HILOS	CANT.  BUFFER	N. DE BUFFER	N. DE DISTRIBUCION	N. DE MANGA	N. DE ELEMENTO	EDIFICIO/ZONA	LINK	CORRELATIVO	GEOLOCALIZACION	LATITUD	LONGITUD	1693	OLT	PUERTO	ODF Y PUERTO	NOTAS			
																							COCHE	COCH
BSVL	NAP	Brisavila	1	ADSS	24	4	1	2	1	5	TERRAPLEN		215	GPS	10.5135875846433	-66.910293893246	NAP BRISAVILA 1.24.4.1.2.1.5 TERRAPLEN	OLT 1 (4 PUERTOS)	PON 2	ODF 1 PUERTO 2				
BSVL	NAP	Brisavila	1	ADSS	24	4	1	2	1	6	TERRAPLEN		216	GPS	10.5126297793758	-66.9103664644266	NAP BRISAVILA 1.24.4.1.2.1.6 TERRAPLEN	OLT 1 (4 PUERTOS)	PON 2	ODF 1 PUERTO 2				
BSVL	NAP	Brisavila	1	ADSS	24	4	1	2	1	7	TERRAPLEN		217	GPS	10.5127092331563	-66.9105760797417	NAP BRISAVILA 1.24.4.1.2.1.7 TERRAPLEN	OLT 1 (4 PUERTOS)	PON 2	ODF 1 PUERTO 2				
BSVL	NAP	Brisavila	1	ADSS	24	4	1	2	1	8	TERRAPLEN		218	GPS	10.5129000713307	-66.9108031821142	NAP BRISAVILA 1.24.4.1.2.1.8 TERRAPLEN	OLT 1 (4 PUERTOS)	PON 2	ODF 1 PUERTO 2				
BSVL	NAP	Brisavila	1	ADSS	24	4	1	2	1	9	SAN FRANCISCO		219	GPS	10.5121838499341	-66.9103637822773	NAP BRISAVILA 1.24.4.1.2.1.9 SAN FRANCISCO	OLT 1 (4 PUERTOS)	PON 2	ODF 1 PUERTO 2				
BSVL	NAP	Brisavila	1	ADSS	24	4	1	2	1	10	SAN FRANCISCO		2110	GPS	10.5121838499341	-66.9103637822773	NAP BRISAVILA 1.24.4.1.2.1.10 SAN FRANCISCO	OLT 1 (4 PUERTOS)	PON 2	ODF 1 PUERTO 2				
BSVL	NAP	Brisavila	1	ADSS	24	4	1	2	1	11	SAN FRANCISCO		2111	GPS	10.5121838499341	-66.9103637822773	NAP BRISAVILA 1.24.4.1.2.1.11 SAN FRANCISCO	OLT 1 (4 PUERTOS)	PON 2	ODF 1 PUERTO 2				
BSVL	NAP	Brisavila	1	ADSS	24	4	1	2	1	12	SAN FRANCISCO		2112	GPS	10.5121838499341	-66.9103637822773	NAP BRISAVILA 1.24.4.1.2.1.12 SAN FRANCISCO	OLT 1 (4 PUERTOS)	PON 2	ODF 1 PUERTO 2				
BSVL	NAP	Brisavila	1	ADSS	24	4	1	2	1	13	SAN FRANCISCO		2113	GPS	10.5121838499341	-66.9103637822773	NAP BRISAVILA 1.24.4.1.2.1.13 SAN FRANCISCO	OLT 1 (4 PUERTOS)	PON 2	ODF 1 PUERTO 2				
BSVL	NAP	Brisavila	1	ADSS	24	4	1	2	1	14	SAN FRANCISCO		2114	GPS	10.5121838499341	-66.9103637822773	NAP BRISAVILA 1.24.4.1.2.1.14 SAN FRANCISCO	OLT 1 (4 PUERTOS)	PON 2	ODF 1 PUERTO 2				
