,ELEMENTO,NODO,N. DE TRUNK,TIPO DE CABLE,CANT. DE HILOS,CANT.  BUFFER,N. DE BUFFER,N. DE DISTRIBUCION,N. DE MANGA,N. DE ELEMENTO,EDIFICIO/ZONA,LINK,CORRELATIVO,GEOLOCALIZACION,LATITUD,LONGITUD,1693,OLT,PUERTO,ODF Y PUERTO,NOTAS
__export__.isp_node_39_ae08259d,MANGA,LA PAZ,1,ADSS,24,1,N/A,N/A,N/A,4,FINAL CALLE LA LINEA,N/A,4,GPS,10.4840569256916,-66.9499604932575,MANGA LA PAZ 4 FINAL CALLE LA LINEA,,,,
__export__.isp_node_39_ae08259d,MANGA,LA PAZ,1,ADSS,24,1,N/A,N/A,N/A,5,CALLE GUAYANITA,N/A,5,GPS,10.4824047246723,-66.9520672067463,MANGA LA PAZ 5 CALLE GUAYANITA,,,,
__export__.isp_node_39_ae08259d,MANGA,LA PAZ,1,ADSS,24,1,N/A,N/A,N/A,6,CALLE INDUSTRIA,N/A,6,GPS,10.4816614250968,-66.95093903559,MANGA LA PAZ 6 CALLE INDUSTRIA,,,,
__export__.isp_node_39_ae08259d,MANGA,LA PAZ,1,ADSS,24,1,N/A,N/A,N/A,7,TORRES A-D PPPO7,N/A,7,GPS,10.4822974740309,-66.9507187913969,MANGA LA PAZ 7 TORRES A-D PPPO7,,,,
__export__.isp_node_39_ae08259d,MANGA,LA PAZ,1,ADSS,24,1,N/A,N/A,N/A,8,TORRE E-J PPPO7,N/A,8,GPS,10.482195825532,-66.9501164644185,MANGA LA PAZ 8 TORRE E-J PPPO7,,,,
__export__.isp_node_39_ae08259d,MANGA,LA PAZ,1,ADSS,24,1,N/A,N/A,N/A,9,BLOQUE DE ARMAS,N/A,9,GPS,10.487411425191,-66.9462553644236,MANGA LA PAZ 9 BLOQUE DE ARMAS,,,,
__export__.isp_node_39_ae08259d,MANGA,LA PAZ,1,ADSS,24,1,N/A,N/A,N/A,10,BELLA VISTA,N/A,10,GPS,10.4870158244353,-66.9481613355874,MANGA LA PAZ 10 BELLA VISTA,,,,
__export__.isp_node_39_ae08259d,MANGA,LA PAZ,1,ADSS,24,1,N/A,N/A,N/A,11,BELLA VISTA,N/A,11,GPS,10.487890326014,-66.9475609644199,MANGA LA PAZ 11 BELLA VISTA,,,,
__export__.isp_node_39_ae08259d,MANGA,LA PAZ,1,ADSS,24,1,N/A,N/A,N/A,12,VISTA BELLA,N/A,12,GPS,10.4846680257475,-66.9510053644235,MANGA LA PAZ 12 VISTA BELLA,,,,
__export__.isp_node_39_ae08259d,MANGA,LA PAZ,1,ADSS,24,1,N/A,N/A,N/A,13,CLINICA,N/A,13,GPS,10.4881508756292,-66.9489220644149,MANGA LA PAZ 13 CLINICA,,,,
__export__.isp_node_39_ae08259d,MANGA,LA PAZ,1,ADSS,24,1,N/A,N/A,N/A,14,IGLESIA,N/A,14,GPS,10.4878836252044,-66.9537446355741,MANGA LA PAZ 14 IGLESIA,,,,
__export__.isp_node_39_ae08259d,MANGA,LA PAZ,1,ADSS,24,1,N/A,N/A,N/A,15,CALLE 7,N/A,15,GPS,10.4888241765377,-66.9525331644168,MANGA LA PAZ 15 CALLE 7,,,,
__export__.isp_node_39_ae08259d,MANGA,LA PAZ,1,ADSS,24,1,N/A,N/A,N/A,16,COLEGIO,N/A,16,GPS,10.4884736260661,-66.9558386644224,MANGA LA PAZ 16 COLEGIO,,,,
__export__.isp_node_39_ae08259d,MANGA,LA PAZ,1,ADSS,24,1,N/A,N/A,N/A,17,CALLE 5,N/A,17,GPS,10.4895052317,-66.948277859,MANGA LA PAZ 17 CALLE 5,,,,
__export__.isp_node_39_ae08259d,MANGA,LA PAZ,1,ADSS,96,8,N/A,N/A,N/A,T1,MORAN,N/A,T1,GPS,10.4885696222,-66.9455018027,MANGA LA PAZ T1 MORAN,,,,
__export__.isp_node_39_ae08259d,MANGA,LA PAZ,1,ADSS,96,8,N/A,N/A,N/A,1,MORAN,N/A,1,GPS,10.4885696222,-66.9455018027,MANGA LA PAZ 1 MORAN,,,,
__export__.isp_node_36_3a8b68ad,MANGA,CARAPITA,1,ADSS,0,0,0,0,1,N/A,INICIO CALLE REAL,N/A,1,GPS,10.4727447249474,-66.973189035576,MANGA CARAPITA 1.0.0.0.0.1. INICIO CALLE REAL,N/A,N/A,N/A,N/A
__export__.isp_node_36_3a8b68ad,MANGA,CARAPITA,1,ADSS,0,0,0,0,2,N/A,FINAL CALLE REAL,N/A,2,GPS,10.4764391250076,-66.9755375509146,MANGA CARAPITA 1.0.0.0.0.2. FINAL CALLE REAL,N/A,N/A,N/A,N/A
__export__.isp_node_36_3a8b68ad,MANGA,CARAPITA,1,ADSS,0,0,0,0,3,N/A,INICIO CALLE CABALLO,N/A,3,GPS,10.475456374973,-66.9759712220908,MANGA CARAPITA 1.0.0.0.0.3. INICIO CALLE CABALLO,N/A,N/A,N/A,N/A
__export__.isp_node_36_3a8b68ad,MANGA,CARAPITA,1,ADSS,0,0,0,0,4,N/A,FINAL CALLE CABALLO,N/A,4,GPS,10.4759563749953,-66.9779049932584,MANGA CARAPITA 1.0.0.0.0.4. FINAL CALLE CABALLO,N/A,N/A,N/A,N/A
__export__.isp_node_36_3a8b68ad,MANGA,CARAPITA,1,ADSS,0,0,0,0,5,N/A,CALLE EL PROGRESO,N/A,5,GPS,10.4732380251336,-66.9744371797619,MANGA CARAPITA 1.0.0.0.0.5. CALLE EL PROGRESO,N/A,N/A,N/A,N/A
__export__.isp_node_36_3a8b68ad,MANGA,CARAPITA,1,ADSS,0,0,0,0,6,N/A,PARTE IZQUIERDA Y,N/A,6,GPS,10.4724391249411,-66.9765609644208,MANGA CARAPITA 1.0.0.0.0.6. PARTE IZQUIERDA Y,N/A,N/A,N/A,N/A
__export__.isp_node_36_3a8b68ad,MANGA,CARAPITA,1,ADSS,0,0,0,0,7,N/A,SAN JOSE P. BAJA,N/A,7,GPS,10.474001424838,-66.9726164644201,MANGA CARAPITA 1.0.0.0.0.7. SAN JOSE P. BAJA,N/A,N/A,N/A,N/A
__export__.isp_node_36_3a8b68ad,MANGA,CARAPITA,1,ADSS,0,0,0,0,8,N/A,SAN JOSE. P. BAJA,N/A,8,GPS,10.4765608749894,-66.9739006067369,MANGA CARAPITA 1.0.0.0.0.8. SAN JOSE. P. BAJA,N/A,N/A,N/A,N/A
__export__.isp_node_36_3a8b68ad,MANGA,CARAPITA,1,ADSS,0,0,0,0,9,N/A,SAN JOSE. P. MEDIA,N/A,9,GPS,10.4792447250498,-66.9763771932538,MANGA CARAPITA 1.0.0.0.0.9. SAN JOSE. P. MEDIA,N/A,N/A,N/A,N/A
__export__.isp_node_36_3a8b68ad,MANGA,CARAPITA,1,ADSS,0,0,0,0,10,N/A,EL ZANJON,N/A,10,GPS,10.4788674751475,-66.9795970644228,MANGA CARAPITA 1.0.0.0.0.10. EL ZANJON,N/A,N/A,N/A,N/A
__export__.isp_node_36_3a8b68ad,MANGA,CARAPITA,1,ADSS,0,0,0,0,11,N/A,EL ZANJON,N/A,11,GPS,10.4835014256472,-66.9822490220886,MANGA CARAPITA 1.0.0.0.0.11. EL ZANJON,N/A,N/A,N/A,N/A
__export__.isp_node_36_3a8b68ad,MANGA,CARAPITA,1,ADSS,0,0,0,0,T1,N/A,EL ZANJON,N/A,0T1,GPS,10.4835636261733,-66.9817104932536,MANGA CARAPITA 1.0.0.0.0.T1. EL ZANJON,N/A,N/A,N/A,N/A
__export__.isp_node_36_3a8b68ad,MANGA,CARAPITA,1,ADSS,0,0,0,0,12,N/A,EL ZANJON,N/A,12,GPS,10.4833769246244,-66.9847104932517,MANGA CARAPITA 1.0.0.0.0.12. EL ZANJON,N/A,N/A,N/A,N/A
__export__.isp_node_36_3a8b68ad,MANGA,CARAPITA,1,ADSS,0,0,0,0,T2,N/A,EL ZANJON,N/A,0T2,GPS,10.4845741760289,-66.9865842779034,MANGA CARAPITA 1.0.0.0.0.T2. EL ZANJON,N/A,N/A,N/A,N/A
__export__.isp_node_41_6d8bdb77,MANGA,PARQUE CENTRAL,1,ADSS,24,4,0,0,1,N/A,ESTACIONAMIENTO,N/A,1,GPS,10.4984522284315,-66.9010194002685,MANGA PARQUE CENTRAL 1.24.4.0.0.1. ESTACIONAMIENTO,N/A,N/A,N/A,N/A
__export__.isp_node_41_6d8bdb77,MANGA,PARQUE CENTRAL,1,ADSS,24,4,0,0,2,N/A,ESTACIONAMIENTO,N/A,2,GPS,10.4982266314928,-66.9025024295069,MANGA PARQUE CENTRAL 1.24.4.0.0.2. ESTACIONAMIENTO,N/A,N/A,N/A,N/A
__export__.isp_node_41_6d8bdb77,MANGA,PARQUE CENTRAL,1,ADSS,24,4,0,0,3,N/A,ESTACIONAMIENTO,N/A,3,GPS,10.4980571774543,-66.9016678134916,MANGA PARQUE CENTRAL 1.24.4.0.0.3. ESTACIONAMIENTO,N/A,N/A,N/A,N/A
__export__.isp_node_38_b7eb6362,MANGA,HACIENDA HUMBOLDT,1,ADSS,N/A,N/A,N/A,N/A,1,1,TORRE B HH,,11,GPS,10.4797945271075,-66.8962830310929,MANGA HACIENDA HUMBOLDT 1.1.1 TORRE B HH,,,,HACIENDA HUMBOLDT
__export__.isp_node_38_b7eb6362,MANGA,HACIENDA HUMBOLDT,1,ADSS,N/A,N/A,N/A,N/A,2,1,EDIF MARCO,,21,GPS,10.4803221993345,-66.8961875017849,MANGA HACIENDA HUMBOLDT 1.2.1 EDIF MARCO,,,,
__export__.isp_node_38_b7eb6362,MANGA,HACIENDA HUMBOLDT,1,ADSS,N/A,N/A,N/A,N/A,3,1,BIMBOLANDIA,,31,GPS,10.4817705188428,-66.89548144466,MANGA HACIENDA HUMBOLDT 1.3.1 BIMBOLANDIA,,,,
__export__.isp_node_37_4c1f810c,MANGA,COCHE,1,ADSS,N/A,N/A,N/A,N/A,1,1,CARABOBO,LINK,11,GPS,10.4495453831959,-66.9232501179311,MANGA COCHE 1.1.1 CARABOBO,,,,
__export__.isp_node_37_4c1f810c,MANGA,COCHE,1,ADSS,N/A,N/A,N/A,N/A,1,2,NUEVA ESPARTA,LINK,12,GPS,10.4509457188548,-66.9239762233132,MANGA COCHE 1.1.2 NUEVA ESPARTA,,,,
__export__.isp_node_37_4c1f810c,MANGA,COCHE,1,ADSS,N/A,N/A,N/A,N/A,1,3,APURE,LINK,13,GPS,10.4492725245447,-66.9233493932531,MANGA COCHE 1.1.3 APURE,,,,
__export__.isp_node_37_4c1f810c,MANGA,COCHE,1,ADSS,N/A,N/A,N/A,N/A,1,4,ZULIA,LINK,14,GPS,10.4490819772856,-66.9241398779193,MANGA COCHE 1.1.4 ZULIA,,,,
__export__.isp_node_37_4c1f810c,MANGA,COCHE,1,ADSS,N/A,N/A,N/A,N/A,1,5,LA FLORESTA,LINK,15,GPS,10.4514391245824,-66.9241997644167,MANGA COCHE 1.1.5 LA FLORESTA,,,,
__export__.isp_node_37_4c1f810c,MANGA,COCHE,1,ADSS,N/A,N/A,N/A,N/A,1,6,MERCADITO COCHE,LINK,16,GPS,10.448511968452,-66.924316329052,MANGA COCHE 1.1.6 MERCADITO COCHE,,,,
__export__.isp_node_37_4c1f810c,MANGA,COCHE,1,ADSS,N/A,N/A,N/A,N/A,1,7,BLOQUE 1 CHALBAUD,LINK,17,GPS,10.4469171915875,-66.9255189388021,MANGA COCHE 1.1.7 BLOQUE 1 CHALBAUD,,,,
__export__.isp_node_37_4c1f810c,MANGA,COCHE,1,ADSS,N/A,N/A,N/A,N/A,1,8,BLOQUE 4 CHALBAUD,LINK,18,GPS,10.4451921570195,-66.9265542516435,MANGA COCHE 1.1.8 BLOQUE 4 CHALBAUD,,,,
__export__.isp_node_37_4c1f810c,MANGA,COCHE,1,ADSS,N/A,N/A,N/A,N/A,1,9,BLOQUE 6 CHALBAUD,LINK,19,GPS,10.4442087046239,-66.9262446775217,MANGA COCHE 1.1.9 BLOQUE 6 CHALBAUD,,,,
__export__.isp_node_37_4c1f810c,MANGA,COCHE,1,ADSS,N/A,N/A,N/A,N/A,1,10,BLOQUE 13 CHALBAUD,LINK,110,GPS,10.4442961435061,-66.9255912276289,MANGA COCHE 1.1.10 BLOQUE 13 CHALBAUD,,,,
__export__.isp_node_37_4c1f810c,MANGA,COCHE,1,ADSS,N/A,N/A,N/A,N/A,1,11,BLOQUE 11 CHALBAUD,LINK,111,GPS,10.4458056416919,-66.9251341600313,MANGA COCHE 1.1.11 BLOQUE 11 CHALBAUD,,,,
__export__.isp_node_40_9274031b,MANGA,NICANOR,1,ADSS,N/A,N/A,N/A,N/A,1,1,PATIO NICANOR,,11,GPS,10.4723276306654,-66.8927643734827,MANGA NICANOR 1.1.1 PATIO NICANOR,,,,
