"Nombre de campo","Etiqueta de campo","Modelo","Tipo de campo","Tipo","Indexado","Almacenado","Sólo lectura","Modelo relacionado"
"__last_update","Last Modified on","isp.radius","Fecha y hora","Campo base","","","True",""
"access_token","Security Token","isp.radius","Carácter","Campo base","","True","",""
"access_url","Portal Access URL","isp.radius","Carácter","Campo base","","","True",""
"access_warning","Access warning","isp.radius","texto","Campo base","","","True",""
"activity_calendar_event_id","Next Activity Calendar Event","isp.radius","many2one","Campo base","","","True","calendar.event"
"activity_date_deadline","Next Activity Deadline","isp.radius","fecha","Campo base","","","True",""
"activity_exception_decoration","Activity Exception Decoration","isp.radius","Selección","Campo base","","","True",""
"activity_exception_icon","Icon","isp.radius","Carácter","Campo base","","","True",""
"activity_ids","Activities","isp.radius","one2many","Campo base","","True","","mail.activity"
"activity_state","Activity State","isp.radius","Selección","Campo base","","","True",""
"activity_summary","Next Activity Summary","isp.radius","Carácter","Campo base","","","",""
"activity_type_icon","Activity Type Icon","isp.radius","Carácter","Campo base","","","True",""
"activity_type_id","Next Activity Type","isp.radius","many2one","Campo base","","","","mail.activity.type"
"activity_user_id","Responsible User","isp.radius","many2one","Campo base","","","","res.users"
"code_mac","Código","isp.radius","Selección","Campo base","","True","",""
"core_id","Equipo Core","isp.radius","many2one","Campo base","","True","True","isp.core"
"create_date","Created on","isp.radius","Fecha y hora","Campo base","","True","True",""
"create_uid","Created by","isp.radius","many2one","Campo base","","True","True","res.users"
"database","Base de datos","isp.radius","Carácter","Campo base","","True","",""
"default_control","Control por defecto","isp.radius","booleano","Campo base","","True","",""
"display_name","Display Name","isp.radius","Carácter","Campo base","","","True",""
"domain_text","Dominio","isp.radius","Carácter","Campo base","","True","",""
"general_key","Clave General","isp.radius","booleano","Campo base","","True","",""
"general_key_text","Clave General","isp.radius","Carácter","Campo base","","True","",""
"has_message","Has Message","isp.radius","booleano","Campo base","","","True",""
"id","ID","isp.radius","entero","Campo base","","True","True",""
"ip_address_ids","Direcciones IP","isp.radius","one2many","Campo base","","True","","isp.ip.address"
"ip_address_line_ids","Direcciones IP","isp.radius","one2many","Campo base","","True","","isp.ip.address.line"
"ip_core_radius","IP de Conexion","isp.radius","Carácter","Campo base","","True","",""
"ip_server","IP","isp.radius","Carácter","Campo base","","True","",""
"is_cutoff","Corte","isp.radius","booleano","Campo base","","True","",""
"is_extract_ip_rd","Extraer Mac","isp.radius","booleano","Campo base","","True","",""
"is_ipoe","IPoE","isp.radius","booleano","Campo base","","True","",""
"is_ipv6","Corte IPV6","isp.radius","booleano","Campo base","","True","",""
"is_pppoe","PPPoE","isp.radius","booleano","Campo base","","True","",""
"is_realm_port","Activar REALM","isp.radius","booleano","Campo base","","True","",""
"is_user_profile","Activar User PROFILE","isp.radius","booleano","Campo base","","True","",""
"isp_radius_ids","Atributos Radius Line","isp.radius","one2many","Campo base","","True","","isp.radius.line"
"message_attachment_count","Attachment Count","isp.radius","entero","Campo base","","","True",""
"message_follower_ids","Followers","isp.radius","one2many","Campo base","","True","","mail.followers"
"message_has_error","Message Delivery error","isp.radius","booleano","Campo base","","","True",""
"message_has_error_counter","Number of errors","isp.radius","entero","Campo base","","","True",""
"message_has_sms_error","SMS Delivery error","isp.radius","booleano","Campo base","","","True",""
"message_ids","Messages","isp.radius","one2many","Campo base","","True","","mail.message"
"message_is_follower","Is Follower","isp.radius","booleano","Campo base","","","True",""
"message_main_attachment_id","Main Attachment","isp.radius","many2one","Campo base","True","True","","ir.attachment"
"message_needaction","Action Needed","isp.radius","booleano","Campo base","","","True",""
"message_needaction_counter","Number of Actions","isp.radius","entero","Campo base","","","True",""
"message_partner_ids","Followers (Partners)","isp.radius","many2many","Campo base","","","True","res.partner"
"message_unread","Unread Messages","isp.radius","booleano","Campo base","","","True",""
"message_unread_counter","Unread Messages Counter","isp.radius","entero","Campo base","","","True",""
"my_activity_date_deadline","My Activity Deadline","isp.radius","fecha","Campo base","","","True",""
"name","Hostname","isp.radius","Carácter","Campo base","","True","",""
"password_core_radius","Password","isp.radius","Carácter","Campo base","","True","",""
"password_server","Contraseña","isp.radius","Carácter","Campo base","","True","",""
"perfil_control","Control por perfiles","isp.radius","booleano","Campo base","","True","",""
"port_coa","Puerto COA","isp.radius","Carácter","Campo base","","True","",""
"port_core_radius","Puerto de Conexion","isp.radius","Carácter","Campo base","","True","",""
"port_server","Puerto","isp.radius","Carácter","Campo base","","True","",""
"profile_active","Activos","isp.radius","Carácter","Campo base","","True","",""
"profile_cut","Cortados","isp.radius","Carácter","Campo base","","True","",""
"profile_suspended","Suspendidos","isp.radius","Carácter","Campo base","","True","",""
"radius_domain","Dominio","isp.radius","booleano","Campo base","","True","",""
"state","Estado","isp.radius","Selección","Campo base","","True","",""
"type_access_net","Tipo","isp.radius","Selección","Campo base","","True","",""
"type_radius","Tipo Radius","isp.radius","Selección","Campo base","","True","",""
"type_table","Tabla","isp.radius","Selección","Campo base","","True","",""
"user_core_radius","Usuario","isp.radius","Carácter","Campo base","","True","",""
"username_server","Usuario","isp.radius","Carácter","Campo base","","True","",""
"website_message_ids","Website Messages","isp.radius","one2many","Campo base","","True","","mail.message"
"write_date","Last Updated on","isp.radius","Fecha y hora","Campo base","","True","True",""
"write_uid","Last Updated by","isp.radius","many2one","Campo base","","True","True","res.users"
