Troncal 1. Carapita	-66.9727629289 10.4708608212,-66.9726515592 10.4708626962,-66.9725442709 10.470788845,-66.9724906267 10.4707651071,-66.9723296942 10.4710103986,-66.9722975077 10.4710578743,-66.97250672 10.4713743792,-66.9726569237 10.4717172591,-66.9727109315 10.4717906241,-66.9727766456 10.4719943737,-66.9727749716 10.472034522,-66.9727722894 10.4721874989,-66.9727903943 10.4722758563,-66.9728225808 10.4723075066,-66.9728869538 10.4723134411,-66.973004971 10.4722560748,-66.9731001894 10.4722000272,-66.9731524925 10.4722165118,-66.9732262533 10.4723258944,-66.9732249122 10.4725349186,-66.9732128422 10.472695978,-66.9731920551 10.4728364263,-66.9731866907 10.4730466782,-66.9732617925 10.4731666856,-66.9733047079 10.4732537238,-66.9732926704 10.4733405938,-66.9733246108 10.4734486544,-66.9733128055 10.4735048055,-66.9733201816 10.4735826123,-66.9733523681 10.4736412971,-66.9735953318 10.4738360859,-66.9738867901 10.4741068628,-66.9740598071 10.4743114082,-66.974071877 10.4743740491,-66.9740819353 10.4744538339,-66.9741307341 10.4746930391,-66.9742173554 10.4748906063,-66.974309221 10.4751398508,-66.9744315305 10.4753961545,-66.9745313185 10.4755327997,-66.974798105 10.475757964,-66.9750435031 10.4759728968,-66.9752681088 10.4762018981,-66.9754163009 10.4763463011,-66.9754923657 10.4764494228,-66.9756372339 10.4765014555,-66.9758997144 10.476691441,-66.9761836514 10.4768966286,-66.9764212411 10.4770391802,-66.9766940677 10.4772281425,-66.9767638051 10.4772749579,-66.9769106561 10.4771615459,-66.9768979156 10.4771173679,-66.9767208898 10.4769912321,-66.9766234176 10.4769024,-66.976531552 10.4767810754,-66.9763920771 10.476562947,-66.9762747305 10.476363816,-66.9761969464 10.4762780974,-66.9761030691 10.4761462225,-66.9760419182 10.4760018537,-66.9759768746 10.4758376693,-66.9758957378 10.475707113,-66.9758420936 10.4756220535,-66.9758214322 10.4755571044,-66.9759508487 10.4755360044,-66.9759688496 10.4754963699	ffff00fb	__export__.isp_zone_10_cc081805	cable
SubTroncal Manga 3 a Manga 4	-66.976736315 10.4756711833,-66.977074764 10.4757077105,-66.9771874168 10.4756602355,-66.977471731 10.4755969354,-66.9776407102 10.4756549604,-66.977831147 10.4759371731,-66.9778763545 10.476059897	ff00ff04	__export__.isp_zone_10_cc081805	cable
Subtroncal Manga 4 a Manga 6	-66.9778763545 10.476059897,-66.9781826087 10.4762551885,-66.9786144444 10.476278926,-66.9788290211 10.4761918886,-66.9787136861 10.4760468261,-66.978429372 10.4759255011,-66.978314037 10.4757725261,-66.978391821 10.4756327385,-66.9785822579 10.4755087758,-66.9788156101 10.4752951379,-66.9790033647 10.4749865496,-66.9789926359 10.4748757742,-66.9783006259 10.4742216713,-66.9781128713 10.4738972568,-66.9776649424 10.4731534759,-66.9774959632 10.4729108236,-66.9772331068 10.4728079601,-66.9769461104 10.4727314718,-66.9767342159 10.4725758576,-66.97654778 10.4724541621	fffa0004	__export__.isp_zone_10_cc081805	cable
SubTroncal San Jose Manga 1 a 7, 8 y 9	-66.9732926704 10.4733405938,-66.9731561857 10.4730049102,-66.972775312 10.4729020467,-66.9726385193 10.4728150083,-66.9725285488 10.4727728079,-66.9724749046 10.4727121448,-66.9724534469 10.4725222427,-66.9724534469 10.4724061914,-66.9723837095 10.4721028753,-66.9723032432 10.4720342994,-66.9721905904 10.4720079241,-66.9720779377 10.4720158367,-66.9719733315 10.4720606747,-66.971941145 10.4721556259,-66.9719626027 10.4723508033,-66.972005518 10.4726936821,-66.9720457511 10.4731024986,-66.9721101242 10.4733873511,-66.9721664506 10.4735878027,-66.9722281414 10.4737275912,-66.972351523 10.4738541921,-66.9724695402 10.4739544178,-66.9726030283 10.4740833755,-66.9728131132 10.4742982883,-66.9729230838 10.4744591766,-66.9730920629 10.4746807276,-66.9732288556 10.4748202622,-66.9733522372 10.475041813,-66.9734058814 10.4751895134,-66.9733924704 10.4753635888,-66.9733629661 10.4754005138,-66.9732932286 10.4755693141,-66.9733254151 10.4756378892,-66.973382785 10.4757793639,-66.9733801028 10.4758637639,-66.9733532807 10.4759613514,-66.973382785 10.4760404764,-66.9736295482 10.4760985014,-66.9737046501 10.4761169639,-66.9737797519 10.4761934513,-66.9738119384 10.4762963137,-66.9738950869 10.476483576,-66.9739077133 10.4765495254,-66.9739862715 10.4766213671,-66.9740667378 10.4767426918,-66.9741954839 10.4770354535,-66.9742732679 10.4773440397,-66.9742652213 10.4775102014,-66.9743269121 10.4775735011,-66.9744529759 10.4776684506,-66.974710468 10.4778452307,-66.9747620616 10.4780463006,-66.9748157058 10.4781307,-66.9749469196 10.4782172921,-66.9753117 10.478375541,-66.9756630694 10.4785707144,-66.9757542645 10.4786340138,-66.9758669173 10.4787157756,-66.9759259258 10.4787738001,-66.9760627185 10.4788239121,-66.9761807357 10.4788661118,-66.9762665664 10.4789478735,-66.9762960707 10.4790665598,-66.9762960707 10.4791588714,-66.976361628 10.479252614	fffa0004	__export__.isp_zone_10_cc081805	cable
Troncal Manga 9 a T1 y T2	-66.976361628 10.479252614,-66.9764510918 10.4796221047,-66.9764121997 10.4797117786,-66.9764510918 10.4800744303,-66.97659459 10.4802907023,-66.9766763973 10.4802841087,-66.9767890501 10.4801232234,-66.9769379127 10.4799333259,-66.9770304489 10.4799455819,-66.9773603606 10.4801974598,-66.9775789604 10.4806437243,-66.9777184353 10.4809101077,-66.9780535893 10.4813203517,-66.9782728349 10.4816422766,-66.9783841466 10.4818282169,-66.9785410558 10.4820339379,-66.9785754777 10.4821018086,-66.9786237575 10.4822943422,-66.9786613084 10.4824578639,-66.9787270225 10.4826530347,-66.9788396753 10.4827822694,-66.9789295293 10.4828363369,-66.9790569545 10.4828956993,-66.9793627263 10.4829167988,-66.9796819092 10.4828745998,-66.9798991681 10.4828139386,-66.9801217915 10.4827822893,-66.9804436566 10.4828324007,-66.9806072713 10.482887787,-66.9807467462 10.4830592206,-66.9808379413 10.4831541684,-66.9809908272 10.4831831802,-66.9811973573 10.4832385664,-66.9814575316 10.4834680235,-66.9816238285 10.4836183573,-66.9816805621 10.4836083169,-66.9817686678 10.4837053926,-66.9819161893 10.4838003402,-66.9820234777 10.4838188023,-66.9820851685 10.483768691,-66.9822273256 10.4836368193,-66.9822890164 10.4835787958,-66.9823292495 10.4835864141,-66.9824901821 10.4836971864,-66.9826081993 10.4837710345,-66.9827423097 10.4837868591,-66.9829434754 10.4837763094,-66.9831151368 10.483810596,-66.9831982852 10.4838844441,-66.9832760693 10.4839477425,-66.9834665061 10.4839925788,-66.9836596252 10.483987304,-66.9838259221 10.4839266431,-66.984025198 10.4839319179,-66.9843524275 10.4838396078,-66.9844811736 10.4838185083,-66.9846394239 10.4838765318,-66.9847708521 10.4839451051,-66.9849907933 10.4839530174,-66.9850551663 10.4839530174,-66.9851764181 10.4843283859,-66.9853024819 10.4844444327,-66.9854795077 10.4845182807,-66.9857745507 10.4845974035,-66.9859891274 10.4847319122,-66.9861822464 10.4848453215,-66.9863673189 10.484879608,-66.9866033533 10.484879608,-66.986692143 10.4846694	ffff00fb	__export__.isp_zone_10_cc081805	cable
SubTroncal T1 a Manga 11	-66.9816805621 10.4836083169,-66.9818308518 10.4837123371,-66.9819837377 10.4837835478,-66.9820454285 10.483754536,-66.982141988 10.4836490387,-66.9822274916 10.4835371075	ff00ff04	__export__.isp_zone_10_cc081805	cable
SubTroncal Manga T2 a Manga 12 y 13	-66.986692143 10.4846694,-66.9865106167 10.4847720008,-66.9863228621 10.4847720008,-66.9859795394 10.4845926558,-66.9857649626 10.4844871588,-66.9854860129 10.4844027611,-66.9852928939 10.4843500125,-66.9850997748 10.4838594504,-66.9850193085 10.4836906547,-66.9850354018 10.4835007593,-66.9846641818 10.483395728,-66.9850783171 10.4834216363,-66.9852446141 10.483347788,-66.9853572669 10.4832422905,-66.9853787245 10.4830840442,-66.9852714362 10.4828308499,-66.9849763932 10.4823455603,-66.9847135367 10.4819552181,-66.9844935956 10.4818075209,-66.9842200102 10.4816809233,-66.9840054335 10.4815226762,-66.9838337722 10.4813538791,-66.9834743561 10.4809107865,-66.9833509745 10.4807578139,-66.9832329573 10.4805837416,-66.9829505241 10.4804454518,-66.9827359474 10.4802872041,-66.9825589216 10.4801817055,-66.9823014295 10.4800762069,-66.982269243 10.4799865331,-66.9823282516 10.4798810345,-66.9825309931 10.4797725553	ff0000ff	__export__.isp_zone_10_cc081805	cable
Subtroncal Manga 2 a Caja Paso 2	-66.9754923657 10.4764494228,-66.9756939857 10.4765261414,-66.9758441894 10.4763678917,-66.9757905452 10.4762518418,-66.9754955022 10.4760250169,-66.9752219169 10.4757770919,-66.9748732297 10.4754605915,-66.9748625009 10.4752970662,-66.974889323 10.4752495911,-66.9748303144 10.4751071657,-66.9748034923 10.4748908901,-66.9748732297 10.4746482391,-66.9748625009 10.4745638388,-66.9748088567 10.4743528377,-66.9747069328 10.4741893118,-66.974547872 10.4738168719,-66.9744626061 10.4736368925,-66.9744269855 10.4735709724,-66.974401742 10.4734005955,-66.9743890015 10.4733082822,-66.9743782727 10.4732186064,-66.9743725017 10.473153281	ff0000ff	__export__.isp_zone_10_cc081805	cable
Jumper paso Manga 5 a P2	-66.9743954448 10.4732176291,-66.9743725017 10.473153281	ff00ff44	__export__.isp_zone_10_cc081805	cable
Troncal Manga 3 a Manga 9	-66.9759688496 10.4754963699,-66.9757905283 10.4755541815,-66.9761351922 10.4762425692,-66.9765294769 10.4768267743,-66.9769207531 10.4771677173,-66.9774317139 10.477117605,-66.9777106636 10.4771650798,-66.9778715962 10.4772969543,-66.9783490294 10.4777189522,-66.9785153264 10.4777980767,-66.9787084454 10.4778772012,-66.9789283865 10.4779405008,-66.9791429633 10.4780829249,-66.9793629044 10.4781040247,-66.9794970148 10.4782939234,-66.9795613879 10.4784785469,-66.9795281258 10.4785114988,-66.9794838693 10.4785827107,-66.9794432883 10.4786387865,-66.9794473116 10.4787390106,-66.9794794981 10.4788089037,-66.9796582278 10.479134777,-66.9797145542 10.4791453268,-66.9797588107 10.4790978523,-66.9798513469 10.4789686161,-66.9799116966 10.4789224603,-66.9800136205 10.4789013605,-66.9800659236 10.4788908106,-66.9801061568 10.478873667,-66.9801544365 10.4788024552,-66.980198693 10.478707506,-66.9802188095 10.4786099194,-66.9802429494 10.4785690385,-66.9802711126 10.4785690385,-66.9802858648 10.4786165131,-66.9803205355 10.4787868201,-66.9803500398 10.4788461633,-66.9805015847 10.4790876444,-66.9805431589 10.4792010557,-66.9805914387 10.4794028223,-66.9805822677 10.4795864661,-66.980634456 10.4798271386,-66.9807176044 10.4800856103,-66.9807672253 10.4802702328,-66.9807497909 10.4804772736,-66.9806261076 10.4804755263,-66.9805536879 10.4804939886,-66.9805080904 10.4805256381,-66.9802801026 10.4807392724,-66.9800902187 10.4808875514,-66.9800419389 10.4808915075,-66.9799413561 10.4809033761,-66.9798287033 10.4809337069,-66.9796074662 10.4810723485,-66.9794063006 10.4812081775,-66.9791879138 10.4814148507,-66.9790833076 10.4814095758,-66.9790229579 10.4813897949,-66.9789505383 10.4813462769,-66.9789009174 10.4812869342,-66.9788244745 10.481213115,-66.9787386438 10.4810904733,-66.9786823174 10.4809770626,-66.9786608597 10.4808965922,-66.9786380609 10.4808029624,-66.9785832214 10.4807060462,-66.9785228717 10.4806097789,-66.9783565748 10.4803935071,-66.97820503 10.4802392155,-66.9780803904 10.4801131232,-66.9779784665 10.4799707001,-66.9778845892 10.4798678389,-66.9778483794 10.479778165,-66.9778000996 10.4796673914,-66.9777437732 10.4795829924,-66.9776311204 10.4795144181,-66.9775493131 10.4794761748,-66.9775090799 10.4794432065,-66.97749701 10.4794160881,-66.9774903045 10.4793831197,-66.9774608002 10.4792894894,-66.9774058149 10.4792446524,-66.9773253486 10.4792209152,-66.9772368357 10.4792327838,-66.9771590516 10.4792420149,-66.9770598099 10.4792420149,-66.9769471571 10.4792301463,-66.9768492565 10.4792341025,-66.9767500148 10.4792486086,-66.9766574786 10.4792644335,-66.9765636012 10.4792763021,-66.9764961576 10.4792784723,-66.9764653122 10.4792309978,-66.9764277613 10.4791676984,-66.976347295 10.479014725,-66.9763312018 10.4789975814,-66.9763191318 10.4791175865,-66.9763365662 10.4791795671,-66.976361628 10.479252614	ff00a2ff	__export__.isp_zone_10_cc081805	cable
