"Nombre de campo","Etiqueta de campo","Modelo","Tipo de campo","Tipo","Indexado","Almacenado","Sólo lectura","Modelo relacionado"
"__last_update","Last Modified on","Equipo OLT","Fecha y hora","Campo base","","","True",""
"access_token","Security Token","Equipo OLT","Carácter","Campo base","","True","",""
"access_url","Portal Access URL","Equipo OLT","Carácter","Campo base","","","True",""
"access_warning","Access warning","Equipo OLT","texto","Campo base","","","True",""
"acquisition_mode","IP Acquisition Mode","Equipo OLT","Selección","Campo base","","True","",""
"active","Active","Equipo OLT","booleano","Campo base","","True","",""
"activity_calendar_event_id","Next Activity Calendar Event","Equipo OLT","many2one","Campo base","","","True","calendar.event"
"activity_date_deadline","Next Activity Deadline","Equipo OLT","fecha","Campo base","","","True",""
"activity_exception_decoration","Activity Exception Decoration","Equipo OLT","Selección","Campo base","","","True",""
"activity_exception_icon","Icon","Equipo OLT","Carácter","Campo base","","","True",""
"activity_ids","Activities","Equipo OLT","one2many","Campo base","","True","","mail.activity"
"activity_state","Activity State","Equipo OLT","Selección","Campo base","","","True",""
"activity_summary","Next Activity Summary","Equipo OLT","Carácter","Campo base","","","",""
"activity_type_icon","Activity Type Icon","Equipo OLT","Carácter","Campo base","","","True",""
"activity_type_id","Next Activity Type","Equipo OLT","many2one","Campo base","","","","mail.activity.type"
"activity_user_id","Responsible User","Equipo OLT","many2one","Campo base","","","","res.users"
"admin_user","Admin User","Equipo OLT","Carácter","Campo base","","True","",""
"brand_olt_id","Marca","Equipo OLT","many2one","Campo base","True","True","","product.brand"
"bridge_core_id","Equipo Core","Equipo OLT","many2one","Campo base","","True","","isp.core"
"company_id","Company","Equipo OLT","many2one","Campo base","","True","True","res.company"
"connection_wan","Modo de conexión WAN","Equipo OLT","Selección","Campo base","","True","",""
"contracts_olt_count","Conteo Olts","Equipo OLT","entero","Campo base","","","True",""
"core_brand_description","Descripcion","Equipo OLT","texto","Campo base","","","True",""
"core_id","Equipo Core","Equipo OLT","many2one","Campo base","","True","","isp.core"
"core_ids","Equipos Core","Equipo OLT","many2many","Campo base","","True","","isp.core"
"create_date","Created on","Equipo OLT","Fecha y hora","Campo base","","True","True",""
"create_uid","Created by","Equipo OLT","many2one","Campo base","","True","True","res.users"
"description","Descripción","Equipo OLT","texto","Campo base","","","True",""
"dhcp_client","Profiles VSOL","Equipo OLT","booleano","Campo base","","True","",""
"dhcp_custom_server","DHCP Leases","Equipo OLT","Carácter","Campo base","","True","",""
"display_name","Display Name","Equipo OLT","Carácter","Campo base","","","True",""
"g_name_service","Name Service","Equipo OLT","Carácter","Campo base","","True","",""
"gateway","Gateway","Equipo OLT","many2one","Campo base","","True","","isp.ip.address"
"gemport","Gemport","Equipo OLT","Carácter","Campo base","","True","",""
"ges_gemport","gemport","Equipo OLT","Carácter","Campo base","","True","",""
"has_message","Has Message","Equipo OLT","booleano","Campo base","","","True",""
"hostname_olt","Hostname","Equipo OLT","Carácter","Campo base","","True","",""
"id","ID","Equipo OLT","entero","Campo base","","True","True",""
"ip_address_ids","Direcciones IP","Equipo OLT","one2many","Campo base","","True","","isp.ip.address"
"ip_address_line_ids","Direcciones IP","Equipo OLT","one2many","Campo base","","True","","isp.ip.address.line"
"ip_address_line_tr69_ids","Direcciones IP","Equipo OLT","one2many","Campo base","","True","","isp.ip.address.line"
"ip_address_tr69_ids","Direcciones IP","Equipo OLT","one2many","Campo base","","True","","isp.ip.address"
"ip_olt","IP de Conexion","Equipo OLT","Carácter","Campo base","","True","",""
"is_activation_bridge","Activacion Bridge","Equipo OLT","booleano","Campo base","","True","",""
"is_active_tr","Activar TR-069","Equipo OLT","booleano","Campo base","","True","",""
"is_active_wan_onu","Activar WAN ONU","Equipo OLT","booleano","Campo base","","True","",""
"is_brand_zte","Es Marca ZTE?","Equipo OLT","booleano","Campo base","","","True",""
"is_control_admin","Admin Control","Equipo OLT","booleano","Campo base","","True","",""
"is_control_bandwidth","Controlar Ancho de Banda","Equipo OLT","booleano","Campo base","","True","",""
"is_control_mac_learn","Extraer MAC Learn","Equipo OLT","booleano","Campo base","","True","",""
"is_control_traffic_profile","Control por Traffic Profile","Equipo OLT","booleano","Campo base","","True","",""
"is_control_upstream","Controlar Upstream","Equipo OLT","booleano","Campo base","","True","",""
"is_core_baudcom","Es Baudcom?","Equipo OLT","booleano","Campo base","","","True",""
"is_custom_gempor","Custom Gemport","Equipo OLT","booleano","Campo base","","True","",""
"is_custom_pon_vlan","Gestion PON por Vlan","Equipo OLT","booleano","Campo base","","True","",""
"is_custom_tcont","Custom Tcont","Equipo OLT","booleano","Campo base","","True","",""
"is_cutoff_port","Corte Por Puerto","Equipo OLT","booleano","Campo base","","True","",""
"is_cutoff_reconnection","Corte/Reconexion Servicio","Equipo OLT","booleano","Campo base","","True","",""
"is_disable_onu","Deshabilitar ONU","Equipo OLT","booleano","Campo base","","True","",""
"is_disabled_dhcp_pv4","Deshabilitar Dhcp IPv6","Equipo OLT","booleano","Campo base","","True","",""
"is_enable_nat","Enable NAT","Equipo OLT","booleano","Campo base","","True","",""
"is_enable_remote_access_onu","Habilitar Acceso Remoto ONU","Equipo OLT","booleano","Campo base","","True","",""
"is_extract_mac_onu","Extraer MAC ONU","Equipo OLT","booleano","Campo base","","True","",""
"is_generate","Generado?","Equipo OLT","booleano","Campo base","","True","",""
"is_gestion_pppoe","Gestión WAN ONU","Equipo OLT","booleano","Campo base","","True","",""
"is_ipoe","IPoE","Equipo OLT","booleano","Campo base","","True","",""
"is_line_nap","Gestion Vlan NAP","Equipo OLT","booleano","Campo base","","True","",""
