,ELEMENTO,NODO,N. DE TRUNK,TIPO DE CABLE,CANT. DE HILOS,CANT.  BUFFER,N. DE BUFFER,N. DE DISTRIBUCION,N. DE MANGA,N. DE ELEMENTO,EDIFICIO/ZONA,LINK,CORRELATIVO,GEOLOCALIZACION,LATITUD,LONGITUD,1693,OLT,PUERTO,ODF Y PUERTO,NOTAS
,NAP,BRISAVILA,1,ADSS,24,4,1,1,0,10,SANTA ANA DE CORO,,1010,GPS,10.512195828091183,-66.9111720644123,NAP BRISAVILA 1.24.4.1.1.0.10 SANTA ANA DE CORO,OLT 1 (4 PUERTOS),PON 1,ODF 1 PUERTO 1,PISO 3
,NAP,BRISAVILA,1,ADSS,24,4,1,1,0,11,SANTA ANA DE CORO,,1011,GPS,10.512195828091183,-66.9111720644123,NAP BRISAVILA 1.24.4.1.1.0.11 SANTA ANA DE CORO,OLT 1 (4 PUERTOS),PON 1,ODF 1 PUERTO 1,PISO 5
,NAP,BRISAVILA,1,ADSS,24,4,1,1,0,12,SANTA ANA DE CORO,,1012,GPS,10.512195828091183,-66.9111720644123,NAP BRISAVILA 1.24.4.1.1.0.12 SANTA ANA DE CORO,OLT 1 (4 PUERTOS),PON 1,ODF 1 PUERTO 1,PISO 7
,NAP,BRISAVILA,1,ADSS,24,4,1,1,0,13,SANTA ANA DE CORO,,1013,GPS,10.512195828091183,-66.9111720644123,NAP BRISAVILA 1.24.4.1.1.0.13 SANTA ANA DE CORO,OLT 1 (4 PUERTOS),PON 1,ODF 1 PUERTO 1,PISO 9
,NAP,BRISAVILA,1,ADSS,24,4,1,1,0,14,SANTA ANA DE CORO,,1014,GPS,10.512195828091183,-66.9111720644123,NAP BRISAVILA 1.24.4.1.1.0.14 SANTA ANA DE CORO,OLT 1 (4 PUERTOS),PON 1,ODF 1 PUERTO 1,PISO 11
,NAP,BRISAVILA,1,ADSS,24,4,1,1,0,15,LIBERTAD,,1015,GPS,10.512126753621017,-66.9103935999886,NAP BRISAVILA 1.24.4.1.1.0.15 LIBERTAD,OLT 1 (4 PUERTOS),PON 1,ODF 1 PUERTO 1,****
,NAP,BRISAVILA,1,ADSS,24,4,1,1,0,16,N/A,,1016,,,,NAP BRISAVILA 1.24.4.1.1.0.16 N/A,OLT 1 (4 PUERTOS),PON 1,ODF 1 PUERTO 1,NO INSTALADA
,NAP,BRISAVILA,1,ADSS,24,4,1,2,1,1,TERRAPLEN,LINK,211,GPS,10.512129779316316,-66.90993903558343,NAP BRISAVILA 1.24.4.1.2.1.1 TERRAPLEN,OLT 1 (4 PUERTOS),PON 2,ODF 1 PUERTO 2,
,NAP,BRISAVILA,1,ADSS,24,4,1,2,1,2,TERRAPLEN,,212,GPS,10.512539776872574,-66.9101549932537,NAP BRISAVILA 1.24.4.1.2.1.2 TERRAPLEN,OLT 1 (4 PUERTOS),PON 2,ODF 1 PUERTO 2,
,NAP,BRISAVILA,1,ADSS,24,4,1,2,1,3,TERRAPLEN,,213,GPS,10.512879779414524,-66.91023390675208,NAP BRISAVILA 1.24.4.1.2.1.3 TERRAPLEN,OLT 1 (4 PUERTOS),PON 2,ODF 1 PUERTO 2,
,NAP,BRISAVILA,1,ADSS,24,4,1,2,1,4,TERRAPLEN,,214,GPS,10.513213079449725,-66.9102831644133,NAP BRISAVILA 1.24.4.1.2.1.4 TERRAPLEN,OLT 1 (4 PUERTOS),PON 2,ODF 1 PUERTO 2,
