"Nombre de campo","Etiqueta de campo","Modelo","Tipo de campo","Tipo","Indexado","Almacenado","Sólo lectura","Modelo relacionado"
"__last_update","Last Modified on","Puerto de Tarjeta OLT","Fecha y hora","Campo base","","","True",""
"access_token","Security Token","Puerto de Tarjeta OLT","Carácter","Campo base","","True","",""
"access_url","Portal Access URL","Puerto de Tarjeta OLT","Carácter","Campo base","","","True",""
"access_warning","Access warning","Puerto de Tarjeta OLT","texto","Campo base","","","True",""
"active","Active","Puerto de Tarjeta OLT","booleano","Campo base","","True","",""
"activity_calendar_event_id","Next Activity Calendar Event","Puerto de Tarjeta OLT","many2one","Campo base","","","True","calendar.event"
"activity_date_deadline","Next Activity Deadline","Puerto de Tarjeta OLT","fecha","Campo base","","","True",""
"activity_exception_decoration","Activity Exception Decoration","Puerto de Tarjeta OLT","Selección","Campo base","","","True",""
"activity_exception_icon","Icon","Puerto de Tarjeta OLT","Carácter","Campo base","","","True",""
"activity_ids","Activities","Puerto de Tarjeta OLT","one2many","Campo base","","True","","mail.activity"
"activity_state","Activity State","Puerto de Tarjeta OLT","Selección","Campo base","","","True",""
"activity_summary","Next Activity Summary","Puerto de Tarjeta OLT","Carácter","Campo base","","","",""
"activity_type_icon","Activity Type Icon","Puerto de Tarjeta OLT","Carácter","Campo base","","","True",""
"activity_type_id","Next Activity Type","Puerto de Tarjeta OLT","many2one","Campo base","","","","mail.activity.type"
"activity_user_id","Responsible User","Puerto de Tarjeta OLT","many2one","Campo base","","","","res.users"
"c_vlan","c-vlan","Puerto de Tarjeta OLT","entero","Campo base","","True","",""
"capacity_port_pon","Total PON","Puerto de Tarjeta OLT","Selección","Campo base","","True","",""
"capacity_usage_port_pon","Usada PON","Puerto de Tarjeta OLT","entero","Campo base","","True","True",""
"contracts_port_count","Conteo Puerto Olt","Puerto de Tarjeta OLT","entero","Campo base","","","True",""
"create_date","Created on","Puerto de Tarjeta OLT","Fecha y hora","Campo base","","True","True",""
"create_uid","Created by","Puerto de Tarjeta OLT","many2one","Campo base","","True","True","res.users"
"dhcp_client","Profiles VSOL","Puerto de Tarjeta OLT","booleano","Campo base","","True","",""
"dhcp_custom_server","DHCP Leases","Puerto de Tarjeta OLT","Carácter","Campo base","","True","",""
"display_name","Display Name","Puerto de Tarjeta OLT","Carácter","Campo base","","","True",""
"gateway","Gateway","Puerto de Tarjeta OLT","many2one","Campo base","","True","","isp.ip.address"
"has_message","Has Message","Puerto de Tarjeta OLT","booleano","Campo base","","","True",""
"id","ID","Puerto de Tarjeta OLT","entero","Campo base","","True","True",""
"interface","Interface","Puerto de Tarjeta OLT","Carácter","Campo base","","True","",""
"ip_address_ids","Direcciones IP","Puerto de Tarjeta OLT","one2many","Campo base","","True","","isp.ip.address"
"ip_address_line_ids","Direcciones IP","Puerto de Tarjeta OLT","one2many","Campo base","","True","","isp.ip.address.line"
"is_custom_pppoe_profile","Custom PPPoE Profile","Puerto de Tarjeta OLT","booleano","Campo base","","True","",""
"is_extra_serviceport","Serviport Extra","Puerto de Tarjeta OLT","booleano","Campo base","","True","",""
"is_generate","Generado?","Puerto de Tarjeta OLT","booleano","Campo base","","True","",""
"is_line_profile","ONT Lineprofile","Puerto de Tarjeta OLT","booleano","Campo base","","True","",""
"is_management_vlan","Vlan de Gestion","Puerto de Tarjeta OLT","booleano","Campo base","","True","",""
"is_reverse_onuid","Reservar ONU IDs","Puerto de Tarjeta OLT","booleano","Campo base","","True","",""
"is_srvprofile","ONT Srvprofile","Puerto de Tarjeta OLT","booleano","Campo base","","True","",""
"message_attachment_count","Attachment Count","Puerto de Tarjeta OLT","entero","Campo base","","","True",""
"message_follower_ids","Followers","Puerto de Tarjeta OLT","one2many","Campo base","","True","","mail.followers"
"message_has_error","Message Delivery error","Puerto de Tarjeta OLT","booleano","Campo base","","","True",""
"message_has_error_counter","Number of errors","Puerto de Tarjeta OLT","entero","Campo base","","","True",""
"message_has_sms_error","SMS Delivery error","Puerto de Tarjeta OLT","booleano","Campo base","","","True",""
"message_ids","Messages","Puerto de Tarjeta OLT","one2many","Campo base","","True","","mail.message"
"message_is_follower","Is Follower","Puerto de Tarjeta OLT","booleano","Campo base","","","True",""
"message_main_attachment_id","Main Attachment","Puerto de Tarjeta OLT","many2one","Campo base","True","True","","ir.attachment"
"message_needaction","Action Needed","Puerto de Tarjeta OLT","booleano","Campo base","","","True",""
"message_needaction_counter","Number of Actions","Puerto de Tarjeta OLT","entero","Campo base","","","True",""
"message_partner_ids","Followers (Partners)","Puerto de Tarjeta OLT","many2many","Campo base","","","True","res.partner"
