"Nombre de campo","Etiqueta de campo","Modelo","Tipo de campo","Tipo","Indexado","Almacenado","Sólo lectura","Modelo relacionado"
"__last_update","Last Modified on","Tarjeta de Equipo OLT","Fecha y hora","Campo base","","","True",""
"access_token","Security Token","Tarjeta de Equipo OLT","Carácter","Campo base","","True","",""
"access_url","Portal Access URL","Tarjeta de Equipo OLT","Carácter","Campo base","","","True",""
"access_warning","Access warning","Tarjeta de Equipo OLT","texto","Campo base","","","True",""
"active","Active","Tarjeta de Equipo OLT","booleano","Campo base","","True","",""
"activity_calendar_event_id","Next Activity Calendar Event","Tarjeta de Equipo OLT","many2one","Campo base","","","True","calendar.event"
"activity_date_deadline","Next Activity Deadline","Tarjeta de Equipo OLT","fecha","Campo base","","","True",""
"activity_exception_decoration","Activity Exception Decoration","Tarjeta de Equipo OLT","Selección","Campo base","","","True",""
"activity_exception_icon","Icon","Tarjeta de Equipo OLT","Carácter","Campo base","","","True",""
"activity_ids","Activities","Tarjeta de Equipo OLT","one2many","Campo base","","True","","mail.activity"
"activity_state","Activity State","Tarjeta de Equipo OLT","Selección","Campo base","","","True",""
"activity_summary","Next Activity Summary","Tarjeta de Equipo OLT","Carácter","Campo base","","","",""
"activity_type_icon","Activity Type Icon","Tarjeta de Equipo OLT","Carácter","Campo base","","","True",""
"activity_type_id","Next Activity Type","Tarjeta de Equipo OLT","many2one","Campo base","","","","mail.activity.type"
"activity_user_id","Responsible User","Tarjeta de Equipo OLT","many2one","Campo base","","","","res.users"
"contracts_card_count","Conteo Tarjetas Olt","Tarjeta de Equipo OLT","entero","Campo base","","","True",""
"create_date","Created on","Tarjeta de Equipo OLT","Fecha y hora","Campo base","","True","True",""
"create_uid","Created by","Tarjeta de Equipo OLT","many2one","Campo base","","True","True","res.users"
"dhcp_custom_server","DHCP Leases","Tarjeta de Equipo OLT","Carácter","Campo base","","True","",""
"display_name","Display Name","Tarjeta de Equipo OLT","Carácter","Campo base","","","True",""
"gateway","Gateway","Tarjeta de Equipo OLT","many2one","Campo base","","True","","isp.ip.address"
"has_message","Has Message","Tarjeta de Equipo OLT","booleano","Campo base","","","True",""
"id","ID","Tarjeta de Equipo OLT","entero","Campo base","","True","True",""
"ip_address_ids","Direcciones IP","Tarjeta de Equipo OLT","one2many","Campo base","","True","","isp.ip.address"
"ip_address_line_ids","Direcciones IP","Tarjeta de Equipo OLT","one2many","Campo base","","True","","isp.ip.address.line"
"is_generate","Generado?","Tarjeta de Equipo OLT","booleano","Campo base","","True","",""
"message_attachment_count","Attachment Count","Tarjeta de Equipo OLT","entero","Campo base","","","True",""
"message_follower_ids","Followers","Tarjeta de Equipo OLT","one2many","Campo base","","True","","mail.followers"
"message_has_error","Message Delivery error","Tarjeta de Equipo OLT","booleano","Campo base","","","True",""
"message_has_error_counter","Number of errors","Tarjeta de Equipo OLT","entero","Campo base","","","True",""
"message_has_sms_error","SMS Delivery error","Tarjeta de Equipo OLT","booleano","Campo base","","","True",""
"message_ids","Messages","Tarjeta de Equipo OLT","one2many","Campo base","","True","","mail.message"
"message_is_follower","Is Follower","Tarjeta de Equipo OLT","booleano","Campo base","","","True",""
"message_main_attachment_id","Main Attachment","Tarjeta de Equipo OLT","many2one","Campo base","True","True","","ir.attachment"
"message_needaction","Action Needed","Tarjeta de Equipo OLT","booleano","Campo base","","","True",""
"message_needaction_counter","Number of Actions","Tarjeta de Equipo OLT","entero","Campo base","","","True",""
"message_partner_ids","Followers (Partners)","Tarjeta de Equipo OLT","many2many","Campo base","","","True","res.partner"
"message_unread","Unread Messages","Tarjeta de Equipo OLT","booleano","Campo base","","","True",""
"message_unread_counter","Unread Messages Counter","Tarjeta de Equipo OLT","entero","Campo base","","","True",""
"my_activity_date_deadline","My Activity Deadline","Tarjeta de Equipo OLT","fecha","Campo base","","","True",""
"name","Nombre Tarjeta","Tarjeta de Equipo OLT","Carácter","Campo base","","True","",""
"num_card","Numero Slot","Tarjeta de Equipo OLT","entero","Campo base","","True","",""
"olt_card_port_count","Conteo Slot OLT","Tarjeta de Equipo OLT","entero","Campo base","","","True",""
"olt_id","OLT","Tarjeta de Equipo OLT","many2one","Campo base","","True","","isp.olt"
"poolip","Poolip","Tarjeta de Equipo OLT","Carácter","Campo base","","True","",""
"port_card","Cantidad Puertos","Tarjeta de Equipo OLT","Selección","Campo base","","True","",""
"type_access_net","Tipo","Tarjeta de Equipo OLT","Selección","Campo base","","True","",""
"website_message_ids","Website Messages","Tarjeta de Equipo OLT","one2many","Campo base","","True","","mail.message"
"write_date","Last Updated on","Tarjeta de Equipo OLT","Fecha y hora","Campo base","","True","True",""
"write_uid","Last Updated by","Tarjeta de Equipo OLT","many2one","Campo base","","True","True","res.users"
