"Nombre de campo","Etiqueta de campo","Modelo","Tipo de campo","Tipo","Indexado","Almacenado","Sólo lectura","Modelo relacionado"
"message_attachment_count","Attachment Count","Equipo Core","entero","Campo base","","","True",""
"message_follower_ids","Followers","Equipo Core","one2many","Campo base","","True","","mail.followers"
"message_has_error","Message Delivery error","Equipo Core","booleano","Campo base","","","True",""
"message_has_error_counter","Number of errors","Equipo Core","entero","Campo base","","","True",""
"message_has_sms_error","SMS Delivery error","Equipo Core","booleano","Campo base","","","True",""
"message_ids","Messages","Equipo Core","one2many","Campo base","","True","","mail.message"
"message_is_follower","Is Follower","Equipo Core","booleano","Campo base","","","True",""
"message_main_attachment_id","Main Attachment","Equipo Core","many2one","Campo base","True","True","","ir.attachment"
"message_needaction","Action Needed","Equipo Core","booleano","Campo base","","","True",""
"message_needaction_counter","Number of Actions","Equipo Core","entero","Campo base","","","True",""
"message_partner_ids","Followers (Partners)","Equipo Core","many2many","Campo base","","","True","res.partner"
"message_unread","Unread Messages","Equipo Core","booleano","Campo base","","","True",""
"message_unread_counter","Unread Messages Counter","Equipo Core","entero","Campo base","","","True",""
"model_core","Modelo","Equipo Core","Carácter","Campo base","","True","",""
"my_activity_date_deadline","My Activity Deadline","Equipo Core","fecha","Campo base","","","True",""
"name","Código","Equipo Core","Carácter","Campo base","","True","",""
"networks_device_id","Networks Device","Equipo Core","many2many","Campo base","","True","","isp.device.networks"
"node_id","Nodo","Equipo Core","many2one","Campo base","","True","","isp.node"
"node_ids","Nodos","Equipo Core","many2many","Campo base","","True","","isp.node"
"olt_count","Conteo Equipo OLT","Equipo Core","entero","Campo base","","","True",""
"password_core","Password","Equipo Core","Carácter","Campo base","","True","",""
"password_nass","Password Nass","Equipo Core","Carácter","Campo base","","True","",""
"pooOnlyCore","Pool de IPs Único","Equipo Core","booleano","Campo base","","True","",""
"poolip","Poolip","Equipo Core","Carácter","Campo base","","True","",""
"port_card","Puerto por Tarjeta","Equipo Core","entero","Campo base","","True","",""
"port_coa","Puerto COA","Equipo Core","Carácter","Campo base","","True","",""
"port_core","Puerto de Conexion","Equipo Core","Carácter","Campo base","","True","",""
"radius_count","Conteo Servidor Radius","Equipo Core","entero","Campo base","","","True",""
"radius_id","Radius","Equipo Core","many2one","Campo base","","True","","isp.radius"
"slot","Tarjeta Slot","Equipo Core","entero","Campo base","","True","",""
