"Nombre de campo","Etiqueta de campo","Modelo","Tipo de campo","Tipo","Indexado","Almacenado","Sólo lectura","Modelo relacionado"
"__last_update","Last Modified on","Caja de Conexion","Fecha y hora","Campo base","","","True",""
"access_token","Security Token","Caja de Conexion","Carácter","Campo base","","True","",""
"access_url","Portal Access URL","Caja de Conexion","Carácter","Campo base","","","True",""
"access_warning","Access warning","Caja de Conexion","texto","Campo base","","","True",""
"active","Active","Caja de Conexion","booleano","Campo base","","True","",""
"activity_calendar_event_id","Next Activity Calendar Event","Caja de Conexion","many2one","Campo base","","","True","calendar.event"
"activity_date_deadline","Next Activity Deadline","Caja de Conexion","fecha","Campo base","","","True",""
"activity_exception_decoration","Activity Exception Decoration","Caja de Conexion","Selección","Campo base","","","True",""
"activity_exception_icon","Icon","Caja de Conexion","Carácter","Campo base","","","True",""
"activity_ids","Activities","Caja de Conexion","one2many","Campo base","","True","","mail.activity"
"activity_state","Activity State","Caja de Conexion","Selección","Campo base","","","True",""
"activity_summary","Next Activity Summary","Caja de Conexion","Carácter","Campo base","","","",""
"activity_type_icon","Activity Type Icon","Caja de Conexion","Carácter","Campo base","","","True",""
"activity_type_id","Next Activity Type","Caja de Conexion","many2one","Campo base","","","","mail.activity.type"
"activity_user_id","Responsible User","Caja de Conexion","many2one","Campo base","","","","res.users"
"c_vlan","c-vlan","Caja de Conexion","entero","Campo base","","True","",""
"capacity_nap","Total NAP","Caja de Conexion","Selección","Campo base","","True","",""
"capacity_usage_nap","Usada NAP","Caja de Conexion","entero","Campo base","","","True",""
"country_id","Pais","Caja de Conexion","many2one","Campo base","","True","","res.country"
"create_date","Created on","Caja de Conexion","Fecha y hora","Campo base","","True","True",""
"create_uid","Created by","Caja de Conexion","many2one","Campo base","","True","True","res.users"
"customer_box_count","Conteo Clientes","Caja de Conexion","entero","Campo base","","","True",""
"date_localization","Actualizado el:","Caja de Conexion","fecha","Campo base","","True","",""
"dhcp_client","Profiles VSOL","Caja de Conexion","booleano","Campo base","","True","",""
"dhcp_custom_server","DHCP Leases","Caja de Conexion","Carácter","Campo base","","True","",""
"display_name","Display Name","Caja de Conexion","Carácter","Campo base","","","True",""
"has_message","Has Message","Caja de Conexion","booleano","Campo base","","","True",""
"id","ID","Caja de Conexion","entero","Campo base","","True","True",""
"is_line_nap","Gestion Vlan NAP","Caja de Conexion","booleano","Campo base","","","True",""
"is_management_vlan","Vlan de Gestion","Caja de Conexion","booleano","Campo base","","True","",""
"line_network_router","Network Router","Caja de Conexion","Carácter","Campo base","","True","",""
"message_attachment_count","Attachment Count","Caja de Conexion","entero","Campo base","","","True",""
"message_follower_ids","Followers","Caja de Conexion","one2many","Campo base","","True","","mail.followers"
"message_has_error","Message Delivery error","Caja de Conexion","booleano","Campo base","","","True",""
"message_has_error_counter","Number of errors","Caja de Conexion","entero","Campo base","","","True",""
"message_has_sms_error","SMS Delivery error","Caja de Conexion","booleano","Campo base","","","True",""
"message_ids","Messages","Caja de Conexion","one2many","Campo base","","True","","mail.message"
"message_is_follower","Is Follower","Caja de Conexion","booleano","Campo base","","","True",""
"message_main_attachment_id","Main Attachment","Caja de Conexion","many2one","Campo base","True","True","","ir.attachment"
"message_needaction","Action Needed","Caja de Conexion","booleano","Campo base","","","True",""
"message_needaction_counter","Number of Actions","Caja de Conexion","entero","Campo base","","","True",""
"message_partner_ids","Followers (Partners)","Caja de Conexion","many2many","Campo base","","","True","res.partner"
"message_unread","Unread Messages","Caja de Conexion","booleano","Campo base","","","True",""
"message_unread_counter","Unread Messages Counter","Caja de Conexion","entero","Campo base","","","True",""
"mgc_vlan","gc-vlan","Caja de Conexion","entero","Campo base","","True","",""
"mgs_vlan","gs-vlan","Caja de Conexion","entero","Campo base","","True","",""
"my_activity_date_deadline","My Activity Deadline","Caja de Conexion","fecha","Campo base","","","True",""
"name","Nombre","Caja de Conexion","Carácter","Campo base","","True","",""
"node_id","Nodo","Caja de Conexion","many2one","Campo base","","True","True","isp.node"
"node_latitude","Customer Latitude","Caja de Conexion","número flotante","Campo base","","True","",""
"node_longitude","Customer Longitude","Caja de Conexion","número flotante","Campo base","","True","",""
"onu_ids_isp","One serie","Caja de Conexion","one2many","Campo base","","True","","isp.onu.line"
"port_splitter_secondary","Puerto Splitter Secundario","Caja de Conexion","entero","Campo base","","True","",""
"pri_onu_bridge","PRI ONU Bridge:","Caja de Conexion","Carácter","Campo base","","True","",""
"pri_onu_standar","PRI ONU Standar:","Caja de Conexion","Carácter","Campo base","","True","",""
"s_vlan","s-vlan","Caja de Conexion","entero","Campo base","","True","",""
"splitter_id","Spliter Secundario","Caja de Conexion","many2one","Campo base","","True","","isp.splitter"
"state_id","Provincia","Caja de Conexion","many2one","Campo base","","True","","res.country.state"
"street","Direccion","Caja de Conexion","Carácter","Campo base","","True","",""
"street2","'-","Caja de Conexion","Carácter","Campo base","","True","",""
"type_access_net","Tipo","Caja de Conexion","Selección","Campo base","","True","",""
"website_message_ids","Website Messages","Caja de Conexion","one2many","Campo base","","True","","mail.message"
"write_date","Last Updated on","Caja de Conexion","Fecha y hora","Campo base","","True","True",""
"write_uid","Last Updated by","Caja de Conexion","many2one","Campo base","","True","True","res.users"
"zip","Cod.Postal","Caja de Conexion","Carácter","Campo base","","True","",""
