"Nombre de campo","Etiqueta de campo","Modelo","Tipo de campo","Tipo","Indexado","Almacenado","Sólo lectura","Modelo relacionado"
"__last_update","Last Modified on","isp.radius.table","Fecha y hora","Campo base","","","True",""
"create_date","Created on","isp.radius.table","Fecha y hora","Campo base","","True","True",""
"create_uid","Created by","isp.radius.table","many2one","Campo base","","True","True","res.users"
"display_name","Display Name","isp.radius.table","Carácter","Campo base","","","True",""
"id","ID","isp.radius.table","entero","Campo base","","True","True",""
"isp_radius_columns","Columnas Radius","isp.radius.table","one2many","Campo base","","True","","isp.radius.columns"
"name","Name","isp.radius.table","Carácter","Campo base","","True","",""
"value","Valor","isp.radius.table","Carácter","Campo base","","True","",""
"write_date","Last Updated on","isp.radius.table","Fecha y hora","Campo base","","True","True",""
"write_uid","Last Updated by","isp.radius.table","many2one","Campo base","","True","True","res.users"
