Troncal 24 Hilos Nodo a Manga 1	-66.901022045 10.4982003181,-66.9010539792 10.4980342502	fffa0004	__export__.isp_zone_4_fbf6d207	cable
Sub Troncal Manga 1 a Manga 2	-66.9010539792 10.4980342502,-66.9028215549 10.4983428155	ff0000ff	__export__.isp_zone_4_fbf6d207	cable
Distribucion 1, 2 y 3	-66.9010539792 10.4980342502,-66.9008992869 10.4983579963,-66.9009314297 10.4983644965,-66.9009545235 10.4983672334,-66.9009749753 10.4983705301,-66.901002468 10.4983741564,-66.9010286195 10.498375475,-66.9010517536 10.4983781123,-66.9010775698 10.4983800903,-66.9011097564 10.4983833869,-66.9008748118 10.4985406299,-66.9008995813 10.498542844,-66.9009230506 10.4985451516,-66.9009431672 10.4985491076,-66.9009649601 10.4985504262,-66.9009921175 10.4985547118,-66.9010162574 10.4985580085,-66.90104375 10.4985609754,-66.9010725837 10.4985669094,-66.9008414519 10.4987179128,-66.900877453 10.498721521,-66.9009156745 10.4987281143,-66.9009579193 10.4987340482,-66.9009954702 10.4987399821,-66.9010424089 10.4987465754	fffa0004	__export__.isp_zone_4_fbf6d207	cable
Distribucion Caja 316	-66.9010539792 10.4980342502,-66.900921117 10.4982446047,-66.9008044409 10.4989170549,-66.9005480694 10.4988735714	ff00ff44	__export__.isp_zone_4_fbf6d207	cable
Distribucion Caja 317	-66.9010539792 10.4980342502,-66.9009130703 10.4982458602,-66.9007977354 10.4989130989,-66.9010351109 10.4989645264,-66.9012644397 10.4989922181,-66.9011937564 10.4991466128	ff00ff44	__export__.isp_zone_4_fbf6d207	cable
Apoyo Caja 316B	-66.9005480694 10.4988735714,-66.9005320652 10.4988725969	ff00ff44	__export__.isp_zone_4_fbf6d207	cable
Apoyo Caja 317B	-66.9011937564 10.4991466128,-66.9012081214 10.4991497015	ff00ff44	__export__.isp_zone_4_fbf6d207	cable
Distribucion 4, 5 y 6	-66.9010539792 10.4980342502,-66.9010574343 10.4981385661,-66.9011945622 10.4981632909,-66.9011995121 10.4981395824,-66.9012075587 10.4981118906,-66.9012122525 10.4980809022,-66.901217617 10.4980466171,-66.901224993 10.4980116728,-66.901231028 10.4979747504,-66.9012357219 10.4979384873,-66.9012437685 10.4978811258,-66.9010875831 10.4981247388,-66.9010889242 10.4980983657,-66.9010956298 10.4980673773,-66.9010989825 10.4980297956,-66.9011036764 10.4979968292,-66.9011097114 10.4979618848,-66.9011130641 10.4979229844,-66.9011170874 10.4978748534,-66.9009501199 10.4980924317,-66.9009581666 10.4980317735,-66.9009668837 10.4979750713,-66.9009776126 10.4979163911,-66.9009910236 10.497849799	fffa0004	__export__.isp_zone_4_fbf6d207	cable
Distribucion Caja 616	-66.9010539792 10.4980342502,-66.9009732585 10.498090138,-66.9008726757 10.4980756328,-66.9008920079 10.4980152079	ff00ff44	__export__.isp_zone_4_fbf6d207	cable
Distribucion Caja 617	-66.9010539792 10.4980342502,-66.9010537248 10.4981850812,-66.9011454766 10.4982631152	ff00ff44	__export__.isp_zone_4_fbf6d207	cable
Distribucion Caja 618	-66.9010539792 10.4980342502,-66.9009616573 10.498132335,-66.8998230596 10.4979094821,-66.8998123307 10.4978039896,-66.8996689205 10.4977791684	ff00ff44	__export__.isp_zone_4_fbf6d207	cable
Apoyo Caja 617B	-66.9011454766 10.4982631152,-66.901115918 10.4982787096	ff00ff44	__export__.isp_zone_4_fbf6d207	cable
Apoyo Caja 616B	-66.9008920079 10.4980152079,-66.9008797978 10.4980095959	ff00ff44	__export__.isp_zone_4_fbf6d207	cable
Distribucion 7, 8 y 9	-66.9010539792 10.4980342502,-66.9009728157 10.498118803,-66.9005825543 10.4980449583,-66.9005892598 10.4980159478,-66.9005932831 10.4979816628,-66.9005966359 10.497951993,-66.9006013298 10.4979236419,-66.9006066942 10.4978873788,-66.9006127292 10.4978491378,-66.9006201052 10.4978056221,-66.9006274813 10.4977634251,-66.9004383856 10.497988256,-66.9004424089 10.4979585863,-66.9004457616 10.4979289165,-66.9004517966 10.4978992467,-66.9004558199 10.4978669396,-66.9004645371 10.4978280393,-66.9004699015 10.4977858423,-66.9004779482 10.4977429859,-66.9002935463 10.4979632016,-66.9002989107 10.4979150706,-66.9003116512 10.4978557311,-66.9003190273 10.4978023255,-66.9003277444 10.4977429859	fffa0004	__export__.isp_zone_4_fbf6d207	cable
Distribucion Caja 916	-66.9010539792 10.4980342502,-66.9009750683 10.4981033245,-66.9007256229 10.498051897,-66.9007565563 10.4978411453	ff00ff44	__export__.isp_zone_4_fbf6d207	cable
Apoyo Caja 916B	-66.9007565563 10.4978411453,-66.900745091 10.4978411376	ff00ff44	__export__.isp_zone_4_fbf6d207	cable
