"Código","Hostname","Marca","Modelo","IP de Conexion","Puerto de Conexion","Usuario","Estado"
"CORE-013","Edif Aconcagua","Mikrotik","hex","10.255.255.92","","","Down"
"Access-Carapita-02","","","","","","","Down"
"CORE-014","Access-Brisavila-01","Mikrotik","CCR2116-12G-4G+","10.255.255.93","","","Down"
"CORE-015","Access-Brisavila-02","Mikrotik","CCR2116-12G-4G+","10.255.255.94","","","Down"
"CORE-016","EdifPrisma","Mikrotik","hEX","10.255.255.95","","","Down"
"CORE-017","Edif Madrid","Mikrotik","Hex","10.255.255.97","","","Down"
"CORE-018","Torre Jadim","Mikrotik","Hex","10.255.255.96","","","Down"
"CORE-019","Edif Morichal","Mikrotik","Hex","10.255.255.98","","","Down"
"CORE-020","Edif Llaeco torre A","Mikrotik","Hex","10.255.255.99","","","Down"
"CORE-021","Edif Brion","Mikrotik","Hex","10.255.255.101","","","Down"
"CORE-022","Access-Coche-03","Mikrotik","CCR2004-16G-2S+","10.255.255.100","","","Down"
"CORE-023","Access-Coche-04","Mikrotik","CCR2004-16G-2S+","10.255.255.102","22101","odoo_aynitics_API","Down"
"Access-Carapita-0","","","","","","","Down"
"CORE-024","Edf Centro Plaza las Mercedes","Mikrotik","Hex","10.255.255.103","","","Down"
"CORE-025","EdifLosChaguaramos","Mikrotik","hEX","10.255.255.104","","","Down"
"CORE-026","Edif Parque Santa Monica","Mikrotik","hEX","10.255.255.105","","","Down"
"CORE-027","Access-Altagracia-02","Mikrotik","CCR2004-16G-2S+","10.255.255.90","","","Down"
"CORE-028","Edif Yekuana","Mikrotik","hEX","10.255.255.106","","","Down"
"CORE-029","Residencias Carlos Escarra Torre A","Mikrotik","HEX","10.255.255.19","","","Down"
"CORE-030","Residencias Carlos Escarra Torre B","Mikrotik","HEX","10.255.255.20","18118","","Down"
"CORE-031","Residencias Carlos Escarra Torre C","Mikrotik","HEX","10.255.255.45","18119","","Down"
"CORE-032","Edif Las Cumbres","Mikrotik","hEX","10.255.255.46","","","Down"
"CORE-033","Edif Los Moriches","Mikrotik","hEX","10.255.255.47","","","Down"
