Distribucion PON 1 (OLT 1). Santa Ana de Coro	-66.9108643382 10.5124792749,-66.9108871423 10.5123678743,-66.9109944306 10.5123909497,-66.9110165589 10.5122834842,-66.9110869669 10.5122933737,-66.9111171417 10.5122999667,-66.9111261575 10.512249602,-66.9111295103 10.5122243218,-66.9111456035 10.5122137731,-66.9111751078 10.5122150917,-66.9111992477 10.5122375078,-66.9111965655 10.5122744285	ff0000ff	__export__.isp_zone_11_457fdf7b	cable
Distribucion PON 1 (OLT 1). Brisavila	-66.9108643382 10.5124792749,-66.9109672038 10.5125705056,-66.9109815026 10.5125941012,-66.9110056425 10.5126171766,-66.911037829 10.5126283847,-66.9110814149 10.5126303626,-66.9110995198 10.51260465,-66.9110840971 10.5125631143,-66.9110381169 10.5125447357	ff0000ff	__export__.isp_zone_11_457fdf7b	cable
Drop PON 1 (OLT 1). Libertad	-66.9108643382 10.5124792749,-66.9104235669 10.5123828115,-66.9102876906 10.5123081433,-66.910331947 10.5121367259,-66.9103681569 10.5121433189	ff00ff44	__export__.isp_zone_11_457fdf7b	cable
Troncal 1 Brisavila	-66.9110516026 10.5125932214,-66.9108643382 10.5124792749,-66.9107172232 10.5124501513,-66.9105562907 10.5124316909,-66.9104235669 10.5123828115,-66.9103355077 10.5125447309,-66.9102434809 10.5126060487,-66.9101438507 10.5125531761,-66.9101795443 10.5127520139,-66.9102527894 10.5129268843,-66.9101838399 10.513032656,-66.909906508 10.5129776274,-66.9096980752 10.5129483564,-66.9094368514 10.5129004565,-66.9091966055 10.5128403957,-66.9091328122 10.5130277537,-66.9090235886 10.513626245,-66.908981172 10.5139945115,-66.9089490859 10.5140204126,-66.9088881959 10.5143161733,-66.9088221013 10.514637534,-66.9087427185 10.515305893,-66.9086299814 10.5156535736,-66.9086514391 10.5157775202,-66.9088885061 10.5158128653,-66.9091260944 10.515885373,-66.9094377806 10.5159739926,-66.9096151012 10.5160741577	fffa0004	__export__.isp_zone_11_457fdf7b	cable
SubTroncal Manga 4 a 5	-66.9096151012 10.5160741577,-66.9097710595 10.5152365736,-66.9102897677 10.5153298586	ff0000ff	__export__.isp_zone_11_457fdf7b	cable
Sub Troncal Manga 5 a 7	-66.9102897677 10.5153298586,-66.9108971404 10.5154993489,-66.9109079277 10.5154119185,-66.9109718265 10.5151144008,-66.9110486852 10.5148031372,-66.9110895228 10.5145490927,-66.9111356061 10.5144676766	ff0000ff	__export__.isp_zone_11_457fdf7b	cable
Sub Troncal Manga 4 a 10 y 6	-66.9096151012 10.5160741577,-66.9099928804 10.5164834779,-66.9102074571 10.5168368564,-66.9102611013 10.5173906577,-66.9102235503 10.5182345435,-66.9107009835 10.5182661892,-66.9107599921 10.5184244175,-66.9100733466 10.5187145025,-66.9098587699 10.5185826457,-66.9097198395 10.5186208135,-66.9096388288 10.5183505776,-66.9094349809 10.5180341208,-66.9092204042 10.5177387609,-66.9089843698 10.5174697721,-66.9087284332 10.5173455598	fffa0004	__export__.isp_zone_11_457fdf7b	cable
Sub Troncal Manga 4 a 8 e Iglesia	-66.9096151012 10.5160741577,-66.9096737209 10.5160427243,-66.9099258486 10.5161587592,-66.9101216498 10.5163987405,-66.9106875959 10.5165490583,-66.9106285873 10.5167995878,-66.9109611812 10.5176171037,-66.9118825857 10.5177920437,-66.9130820541 10.5181064995,-66.9143748788 10.5184018591,-66.9148898629 10.5184809732	fffa0004	__export__.isp_zone_11_457fdf7b	cable
Sub Troncal Manga 8 a 11 y 13	-66.9118825857 10.5177920437,-66.9117128973 10.5188055353,-66.9116485243 10.5190376031,-66.9115626936 10.5193329618,-66.911632431 10.5198603874,-66.9115412359 10.5197127083,-66.9111829062 10.52005763,-66.9113588457 10.5201768423,-66.9112891082 10.5203456181,-66.9112300996 10.5205882332,-66.9110160997 10.5208673535	fffa0004	__export__.isp_zone_11_457fdf7b	cable
SubTroncal Manga 13 a Manga12	-66.9110160997 10.5208673535,-66.9113790893 10.5211036816,-66.9114863777 10.5211643352,-66.9118457937 10.5209349062,-66.9121032858 10.5207344853,-66.9123017692 10.5206369119,-66.9124841595 10.5206975656,-66.9126182699 10.5205208786,-66.9122829938 10.5203441916,-66.9120710993 10.5201912385,-66.9119316244 10.5199538973,-66.9120979214 10.5197824842,-66.9125270748 10.5194950373,-66.9124419523 10.5194392533	ff0000ff	__export__.isp_zone_11_457fdf7b	cable
