P50	-66.9096356539	10.5159010416	__export__.isp_zone_11_457fdf7b	post
P51	-66.9096774204	10.5157008419	__export__.isp_zone_11_457fdf7b	post
P52	-66.9097169907	10.5155067025	__export__.isp_zone_11_457fdf7b	post
P53	-66.9097365565	10.5152983396	__export__.isp_zone_11_457fdf7b	post
P54	-66.9097763742	10.5151486334	__export__.isp_zone_11_457fdf7b	post
P55	-66.9098112702	10.5149003847	__export__.isp_zone_11_457fdf7b	post
P56	-66.9098551156	10.5146511693	__export__.isp_zone_11_457fdf7b	post
P57	-66.9098806044	10.5143005364	__export__.isp_zone_11_457fdf7b	post
P58	-66.9099684174	10.5140776999	__export__.isp_zone_11_457fdf7b	post
P59	-66.9100054286	10.5138724817	__export__.isp_zone_11_457fdf7b	post
P60	-66.9096370995	10.5152011788	__export__.isp_zone_11_457fdf7b	post
P61	-66.9093966819	10.5151557156	__export__.isp_zone_11_457fdf7b	post
P62	-66.9091072693	10.5151172337	__export__.isp_zone_11_457fdf7b	post
P63	-66.9098676565	10.5152656842	__export__.isp_zone_11_457fdf7b	post
P64	-66.9102853745	10.5153392046	__export__.isp_zone_11_457fdf7b	post
P65	-66.9103423244	10.5154635687	__export__.isp_zone_11_457fdf7b	post
P66	-66.9110065148	10.5175511773	__export__.isp_zone_11_457fdf7b	post
P67	-66.9100960759	10.51426376	__export__.isp_zone_11_457fdf7b	post
P68	-66.9103993553	10.514299287	__export__.isp_zone_11_457fdf7b	post
P69	-66.9107411467	10.5143439089	__export__.isp_zone_11_457fdf7b	post
P70	-66.9111252666	10.5144614555	__export__.isp_zone_11_457fdf7b	post
P71	-66.9110895228	10.5145490927	__export__.isp_zone_11_457fdf7b	post
P72	-66.91104438	10.5148043071	__export__.isp_zone_11_457fdf7b	post
P73	-66.9109718265	10.5151144008	__export__.isp_zone_11_457fdf7b	post
P74	-66.9109079277	10.5154119185	__export__.isp_zone_11_457fdf7b	post
P - 137	-66.9111835074	10.5142238532	__export__.isp_zone_11_457fdf7b	post
