"Nombre de campo","Etiqueta de campo","Modelo","Tipo de campo","Tipo","Indexado","Almacenado","Sólo lectura","Modelo relacionado"
"__last_update","Last Modified on","isp.onu.vendors","Fecha y hora","Campo base","","","True",""
"brand_id","Vendor Name","isp.onu.vendors","many2one","Campo base","","True","","product.brand"
"create_date","Created on","isp.onu.vendors","Fecha y hora","Campo base","","True","True",""
"create_uid","Created by","isp.onu.vendors","many2one","Campo base","","True","True","res.users"
"display_name","Display Name","isp.onu.vendors","Carácter","Campo base","","","True",""
"hex_id","HEX ID","isp.onu.vendors","Carácter","Campo base","","True","",""
"id","ID","isp.onu.vendors","entero","Campo base","","True","True",""
"name","ID","isp.onu.vendors","Carácter","Campo base","","True","",""
"write_date","Last Updated on","isp.onu.vendors","Fecha y hora","Campo base","","True","True",""
"write_uid","Last Updated by","isp.onu.vendors","many2one","Campo base","","True","True","res.users"
