"Nombre de campo","Etiqueta de campo","Modelo","Tipo de campo","Tipo","Indexado","Almacenado","Sólo lectura","Modelo relacionado"
"__last_update","Last Modified on","Splitter de Conexion","Fecha y hora","Campo base","","","True",""
"access_token","Security Token","Splitter de Conexion","Carácter","Campo base","","True","",""
"access_url","Portal Access URL","Splitter de Conexion","Carácter","Campo base","","","True",""
"access_warning","Access warning","Splitter de Conexion","texto","Campo base","","","True",""
"active","Active","Splitter de Conexion","booleano","Campo base","","True","",""
"activity_calendar_event_id","Next Activity Calendar Event","Splitter de Conexion","many2one","Campo base","","","True","calendar.event"
"activity_date_deadline","Next Activity Deadline","Splitter de Conexion","fecha","Campo base","","","True",""
"activity_exception_decoration","Activity Exception Decoration","Splitter de Conexion","Selección","Campo base","","","True",""
"activity_exception_icon","Icon","Splitter de Conexion","Carácter","Campo base","","","True",""
"activity_ids","Activities","Splitter de Conexion","one2many","Campo base","","True","","mail.activity"
"activity_state","Activity State","Splitter de Conexion","Selección","Campo base","","","True",""
"activity_summary","Next Activity Summary","Splitter de Conexion","Carácter","Campo base","","","",""
"activity_type_icon","Activity Type Icon","Splitter de Conexion","Carácter","Campo base","","","True",""
"activity_type_id","Next Activity Type","Splitter de Conexion","many2one","Campo base","","","","mail.activity.type"
"activity_user_id","Responsible User","Splitter de Conexion","many2one","Campo base","","","","res.users"
"box_count","Conteo Cajas","Splitter de Conexion","entero","Campo base","","","True",""
"capacity_splitter","Capacidad","Splitter de Conexion","Selección","Campo base","","True","",""
"contracts_count","Conteo Cajas","Splitter de Conexion","entero","Campo base","","","True",""
"create_date","Created on","Splitter de Conexion","Fecha y hora","Campo base","","True","True",""
"create_uid","Created by","Splitter de Conexion","many2one","Campo base","","True","True","res.users"
"date_localization","Actualizado el:","Splitter de Conexion","fecha","Campo base","","True","",""
"display_name","Display Name","Splitter de Conexion","Carácter","Campo base","","","True",""
"has_message","Has Message","Splitter de Conexion","booleano","Campo base","","","True",""
"id","ID","Splitter de Conexion","entero","Campo base","","True","True",""
"message_attachment_count","Attachment Count","Splitter de Conexion","entero","Campo base","","","True",""
"message_follower_ids","Followers","Splitter de Conexion","one2many","Campo base","","True","","mail.followers"
"message_has_error","Message Delivery error","Splitter de Conexion","booleano","Campo base","","","True",""
"message_has_error_counter","Number of errors","Splitter de Conexion","entero","Campo base","","","True",""
"message_has_sms_error","SMS Delivery error","Splitter de Conexion","booleano","Campo base","","","True",""
"message_ids","Messages","Splitter de Conexion","one2many","Campo base","","True","","mail.message"
"message_is_follower","Is Follower","Splitter de Conexion","booleano","Campo base","","","True",""
"message_main_attachment_id","Main Attachment","Splitter de Conexion","many2one","Campo base","True","True","","ir.attachment"
"message_needaction","Action Needed","Splitter de Conexion","booleano","Campo base","","","True",""
"message_needaction_counter","Number of Actions","Splitter de Conexion","entero","Campo base","","","True",""
"message_partner_ids","Followers (Partners)","Splitter de Conexion","many2many","Campo base","","","True","res.partner"
"message_unread","Unread Messages","Splitter de Conexion","booleano","Campo base","","","True",""
"message_unread_counter","Unread Messages Counter","Splitter de Conexion","entero","Campo base","","","True",""
"my_activity_date_deadline","My Activity Deadline","Splitter de Conexion","fecha","Campo base","","","True",""
"name","Splitter","Splitter de Conexion","Carácter","Campo base","","True","",""
"name_sppliter","Nombre","Splitter de Conexion","Carácter","Campo base","","True","",""
"olt_card_port_id","Puerto Tarjeta OLT","Splitter de Conexion","many2one","Campo base","","True","","isp.olt.card.port"
"port_splitter","Puerto Splitter Primario","Splitter de Conexion","Carácter","Campo base","","True","",""
"splitter_id","Spliter Principal","Splitter de Conexion","many2one","Campo base","","True","","isp.splitter"
"sppliter_latitude","Customer Latitude","Splitter de Conexion","número flotante","Campo base","","True","",""
"sppliter_longitude","Customer Longitude","Splitter de Conexion","número flotante","Campo base","","True","",""
"type_splitter","Tipo","Splitter de Conexion","Selección","Campo base","","True","",""
"website_message_ids","Website Messages","Splitter de Conexion","one2many","Campo base","","True","","mail.message"
"write_date","Last Updated on","Splitter de Conexion","Fecha y hora","Campo base","","True","True",""
"write_uid","Last Updated by","Splitter de Conexion","many2one","Campo base","","True","True","res.users"
