"Nombre de campo","Etiqueta de campo","Modelo","Tipo de campo","Tipo","Indexado","Almacenado","Sólo lectura","Modelo relacionado"
"__last_update","Last Modified on","isp.radius.attributes","Fecha y hora","Campo base","","","True",""
"create_date","Created on","isp.radius.attributes","Fecha y hora","Campo base","","True","True",""
"create_uid","Created by","isp.radius.attributes","many2one","Campo base","","True","True","res.users"
"description","Descripcion","isp.radius.attributes","Carácter","Campo base","","True","",""
"display_name","Display Name","isp.radius.attributes","Carácter","Campo base","","","True",""
"id","ID","isp.radius.attributes","entero","Campo base","","True","True",""
"name","Nombre","isp.radius.attributes","Carácter","Campo base","","True","",""
"write_date","Last Updated on","isp.radius.attributes","Fecha y hora","Campo base","","True","True",""
"write_uid","Last Updated by","isp.radius.attributes","many2one","Campo base","","True","True","res.users"
