"Nombre de campo","Etiqueta de campo","Modelo","Tipo de campo","Tipo","Indexado","Almacenado","Sólo lectura","Modelo relacionado"
"date_cut","Fecha de Corte","Contratos ISP","fecha","Campo base","","True","True",""
"date_cut_ott","Fecha Corte IPTV","Contratos ISP","fecha","Campo base","","True","True",""
"date_end","Fecha Fin","Contratos ISP","fecha","Campo base","","True","True",""
"date_end_promotion","Fecha Final Promoción","Contratos ISP","fecha","Campo base","","True","",""
"date_localization","Geolocation Date","Contratos ISP","fecha","Campo base","","True","",""
"date_penalty","Fecha Auditoria","Contratos ISP","fecha","Campo base","","True","",""
"date_reconect_ott","Fecha Reconexión IPTV","Contratos ISP","fecha","Campo base","","True","True",""
"date_reconnection","Fecha Reconexion","Contratos ISP","fecha","Campo base","","True","True",""
"date_renovation","Fecha de Renovación","Contratos ISP","fecha","Campo base","","True","True",""
"date_start","Fecha Inicio","Contratos ISP","fecha","Campo base","","True","True",""
"date_start_ott","Fecha Inicio IPTV","Contratos ISP","fecha","Campo base","","True","True",""
"day_cut","Día de Corte","Contratos ISP","entero","Campo base","","True","",""
"default_gateway","Default gateway","Contratos ISP","Carácter","Campo base","","True","",""
"description_contract","Nota","Contratos ISP","html","Campo base","","True","",""
"description_onu","Descripcion","Contratos ISP","html","Campo base","","True","",""
"device_tr069_id","Device ID TR-069","Contratos ISP","Carácter","Campo base","","True","",""
"disability_percentage","Porcentaje de Discapacidad","Contratos ISP","número flotante","Campo base","","True","",""
"discount_line_ids","Lineas de Descuento","Contratos ISP","one2many","Campo base","","True","","contract.discount.line"
"display_name","Display Name","Contratos ISP","Carácter","Campo base","","","True",""
"dn1_wan","DNS1","Contratos ISP","Carácter","Campo base","","True","",""
"dns2_wan","DNS2","Contratos ISP","Carácter","Campo base","","True","",""
"doc_vat_copy","Copia de cédula/pasaporte","Contratos ISP","binario","Campo base","","True","",""
"done_invoice_line_ids","Lineas de facturacion","Contratos ISP","one2many","Campo base","","True","","contract.invoice"
"dont_send_notification_wp","No Enviar Not. Wsp","Contratos ISP","booleano","Campo base","","True","",""
"dual_band","Band","Contratos ISP","Selección","Campo base","","True","",""
"enable_nat","Enable NAT","Contratos ISP","booleano","Campo base","","True","",""
"equipments_ott_ids","Tipo Equipos","Contratos ISP","many2many","Campo base","","True","","equipment.api.ott"
"exchange_rate","Tsa. Cambio","Contratos ISP","número flotante","Campo base","","","True",""
"extra_ref","Referencia Extra","Contratos ISP","booleano","Campo base","","True","",""
"floor_level","Niveles","Contratos ISP","Selección","Campo base","","True","",""
"foreign_currency_line_ids","Lineas de Descuento","Contratos ISP","one2many","Campo base","","True","","foreign.currency.line"
"gateway_network","Gateway","Contratos ISP","Carácter","Campo base","","True","",""
"gc_vlan","gc-vlan","Contratos ISP","entero","Campo base","","True","",""
"get_res_bank","Banco","Contratos ISP","many2one","Campo base","","True","","res.bank"
"gone","Vuelto","Contratos ISP","número flotante","Campo base","","True","True",""
"gone_digital","Vuelto Digital","Contratos ISP","booleano","Campo base","","True","",""
"gs_vlan","gs-vlan","Contratos ISP","entero","Campo base","","True","",""
"has_message","Has Message","Contratos ISP","booleano","Campo base","","","True",""
"has_promotion_foreign_currency","Tiene Promoción Pago en Divisa","Contratos ISP","booleano","Campo base","","","True",""
"helpdesk_team_id","Equipo Tecnico","Contratos ISP","many2one","Campo base","","True","True","helpdesk.ticket.team"
"helpdesk_ticket_count","Conteo Ticket","Contratos ISP","entero","Campo base","","","True",""
"helpdesk_ticket_ids","Helpdesk Tickets","Contratos ISP","one2many","Campo base","","True","","helpdesk.ticket"
"hide","Hide","Contratos ISP","booleano","Campo base","","True","",""
"holling_id","ID Holding","Contratos ISP","many2one","Campo base","","True","","contract.holding"
"id","ID","Contratos ISP","entero","Campo base","","True","True",""
"installation_request","Solicitud de instalación firmada","Contratos ISP","binario","Campo base","","True","",""
"invoice_amount_residual","Invoice Amount Residual","Contratos ISP","número flotante","Campo base","","","True",""
"invoice_count","Invoice Count","Contratos ISP","entero","Campo base","","","True",""
"invoice_line_ids","Lineas de facturacion","Contratos ISP","one2many","Campo base","","True","","contract.invoice"
"invoice_material_extras","¿Facturado materiales extras?","Contratos ISP","booleano","Campo base","","True","",""
"ip_address","IP Asignada","Contratos ISP","Carácter","Campo base","","True","",""
"ip_address_id","IP Objeto","Contratos ISP","many2one","Campo base","","True","True","isp.ip.address"
"ip_address_mgn","IP Gestion","Contratos ISP","Carácter","Campo base","","True","",""
"ip_address_tr_069","IP Asignada TR-069","Contratos ISP","Carácter","Campo base","","True","",""
"ip_address_tr_069_url","IP Asignada TR-069","Contratos ISP","Carácter","Campo base","","","True",""
"ip_address_url","Ip_URL","Contratos ISP","Carácter","Campo base","","","True",""
"ip_network","Host","Contratos ISP","Carácter","Campo base","","True","",""
"ip_public","Ip Public","Contratos ISP","Carácter","Campo base","","True","True",""
"ipv4_address","IPV4 address","Contratos ISP","Carácter","Campo base","","True","",""
"is_activate_onu_port","Activacion Onu Port","Contratos ISP","booleano","Campo base","","True","",""
"is_active_core","Se activo Core?","Contratos ISP","booleano","Campo base","","True","",""
"is_active_tr","Activar TR-069","Contratos ISP","booleano","Campo base","","","True",""
"is_apply_active_ct","Aplicar CT Activos","Contratos ISP","booleano","Campo base","","","True",""
"is_assing_ip_rd","Se asigno IP Radius","Contratos ISP","booleano","Campo base","","True","",""
